"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3483_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_12A_12.OKA","7/24/2024 10:32:48 PM","12-A","PM02A","","NRRL 3483","Aspergillus oryzae","",0.0000,"11.1236","11.1859","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8216","22.0089","12.4956","11.0000","11.0000","11.0000","32.8542","11.0000","11.0000","11.0000","35.2256","11.0000","12.3334","11.8348","11.9075","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4284","32.7863","11.0000","11.0000","11.0000","23.5446","11.0000","11.0000","11.0000","11.0000","11.0000","14.6012","26.7784","12.7407","11.0000","18.0023","11.0000","11.0000","11.0000","11.0000","11.0000","30.4383","11.0000","15.6683","14.4351","23.1617","11.0000","11.0000","11.4673","11.0000","11.0000","11.0000","11.0000","13.7880","13.5347","13.9623","21.5680","20.7413","15.7770","11.0000","11.0000","16.3821","15.0720","11.9664","12.3805","98.2695","19.5740","23.6909","25.8467"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3483_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_12A_12.OKA","7/24/2024 10:32:48 PM","12-A","PM02A","","NRRL 3483","Aspergillus oryzae","",0.2500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7575","11.0000","11.0000","11.0000","11.0000","22.3655","12.8302","11.0000","11.0000","11.0000","30.4049","11.0000","11.0000","11.0000","33.9772","11.0000","11.0000","14.5489","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0847","14.1605","11.7865","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8968","13.1814","32.4538","11.0000","11.0000","11.0000","20.2507","11.0000","11.0000","11.0000","11.0000","11.0000","15.1688","35.8549","17.1590","11.0000","19.1802","11.0000","11.0000","11.0000","11.0000","11.0000","32.7723","11.0000","17.1843","13.9900","23.0979","11.0000","11.0000","11.6606","11.0000","12.1642","11.0000","11.0000","16.4340","11.0000","11.0000","18.7955","24.7602","18.1152","11.0000","11.0000","14.4568","17.9850","14.2926","11.0000","99.9254","19.9319","27.6265","22.4485"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3483_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_12A_12.OKA","7/24/2024 10:32:48 PM","12-A","PM02A","","NRRL 3483","Aspergillus oryzae","",0.5000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6534","11.0000","11.0000","11.0000","11.4722","20.8636","11.0000","11.0000","11.0000","11.0000","38.4987","11.0000","11.0000","11.0000","38.1764","11.5674","11.0000","14.4175","11.0000","11.0000","11.2709","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1890","15.3948","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6782","12.3357","32.5972","11.0000","11.0000","11.0000","29.0087","11.0000","11.0000","11.0000","11.0000","11.0000","18.6962","40.2620","19.7610","11.0000","25.0838","11.0000","11.0000","11.0000","11.0000","11.0000","32.2327","11.0000","16.6949","18.5308","25.7092","11.0000","11.0000","14.2885","12.2915","11.7887","11.0000","11.0000","17.5998","13.8254","11.7094","22.3676","22.6513","16.6696","11.0000","12.3943","15.4226","15.7516","11.5167","11.5493","106.6013","25.3131","25.3818","20.1202"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3483_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_12A_12.OKA","7/24/2024 10:32:48 PM","12-A","PM02A","","NRRL 3483","Aspergillus oryzae","",0.7500,"11.0000","11.0000","11.0000","16.6118","11.0000","11.0000","12.0809","11.0000","11.0000","11.0000","13.9153","19.3139","11.0000","11.0000","12.1871","11.0000","31.6400","11.0000","11.0000","11.0000","33.0713","14.0934","11.0000","16.1004","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3594","12.7112","31.6664","11.0000","11.0000","11.0000","24.4444","11.0000","11.0000","11.0000","11.0000","11.0000","20.2764","50.3607","18.2663","11.0000","17.8914","11.0000","11.0000","11.0000","11.0000","11.0000","35.6746","11.0000","11.8206","17.1553","23.7204","11.0000","11.0000","15.1119","11.0000","13.0577","11.0000","11.0000","19.0080","11.0000","11.0000","18.4414","25.1536","19.2132","11.0000","11.0000","15.3507","12.6675","11.8753","11.0000","105.0089","23.1057","24.7416","22.7503"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3483_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_12A_12.OKA","7/24/2024 10:32:48 PM","12-A","PM02A","","NRRL 3483","Aspergillus oryzae","",1.0000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.3241","11.0000","11.0000","11.0000","11.0000","22.7100","13.2247","15.3240","11.0000","11.0000","36.3362","11.0000","11.0000","11.0000","38.2136","11.5706","11.0000","14.4177","11.0000","11.0000","11.0000","11.0000","14.9963","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.7344","11.0000","11.0000","12.9830","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","34.0711","11.0000","11.0000","11.0000","24.6512","11.0000","11.0000","11.0000","11.0000","11.0000","20.6627","51.4243","19.4626","11.0000","20.9927","11.0000","11.0000","11.0000","11.0000","11.0000","34.5340","11.0000","12.7615","16.9416","17.3397","11.0000","11.0000","13.0133","11.0000","12.8335","11.0000","16.4841","18.1712","11.0000","11.0000","18.2039","21.3570","23.6796","11.0000","11.5579","13.8371","11.0000","14.1224","13.7223","105.1385","18.2518","25.7084","26.0929"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3483_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_12A_12.OKA","7/24/2024 10:32:48 PM","12-A","PM02A","","NRRL 3483","Aspergillus oryzae","",1.2500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9185","11.0000","11.0000","11.0000","11.4423","25.9334","16.4472","11.0000","11.0000","11.0000","31.6967","11.0000","11.0000","11.0000","40.3824","14.6550","11.0000","11.0000","11.7271","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1085","11.9084","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0078","11.0000","11.0000","11.0000","13.0234","33.9338","11.0000","11.0000","11.0000","25.7772","11.0000","11.0000","11.0000","11.0000","11.0000","15.6406","53.0481","18.3186","11.0000","26.5803","11.0000","11.0000","11.0000","11.1264","11.0000","34.5623","11.0000","11.7895","16.3930","21.8125","11.0960","11.0000","14.5404","11.0000","11.0000","11.0000","13.3016","11.0000","13.6165","11.0000","19.5875","22.0366","21.3354","11.0000","11.0000","12.3401","14.2936","11.0000","11.0000","109.2103","21.0077","25.0291","20.6423"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3483_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_12A_12.OKA","7/24/2024 10:32:48 PM","12-A","PM02A","","NRRL 3483","Aspergillus oryzae","",1.5000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.7070","11.0000","11.0000","11.0000","11.0000","25.1605","16.0211","11.4379","11.0000","11.0000","33.2274","11.0000","11.0000","11.0000","39.5592","13.5426","11.0000","13.2316","11.9391","11.0624","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8704","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.8507","14.7043","35.7858","11.0000","11.0000","11.0000","26.6851","11.0000","11.0000","11.0000","11.0000","11.0000","16.5306","52.2789","17.9511","11.0000","24.2140","11.0000","12.9534","11.0000","11.0316","11.0000","33.8093","11.0000","13.9053","18.2964","19.4934","11.0000","12.9219","14.5717","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6664","24.2077","20.1801","11.0000","11.0931","13.8360","11.0000","11.0000","12.3324","103.0272","24.6052","22.3553","22.6285"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3483_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_12A_12.OKA","7/24/2024 10:32:48 PM","12-A","PM02A","","NRRL 3483","Aspergillus oryzae","",1.7500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.8028","11.0000","11.0000","11.0000","11.0000","21.0484","13.3736","11.0000","11.0000","11.0000","38.9039","11.0000","11.0000","11.0000","39.3376","12.7481","11.0000","12.0228","11.2121","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2487","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8818","11.0000","11.0000","11.2589","13.9261","35.9710","11.0000","11.0000","11.0000","25.4328","11.0000","11.0000","11.0000","11.0000","11.0000","19.1370","52.9199","18.5023","11.0000","23.3228","11.0000","11.0000","11.0000","12.1375","11.0000","37.2291","11.0000","14.6948","14.6165","19.5235","11.0000","12.1028","16.7022","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8654","21.2224","19.3682","11.0000","11.0000","13.9295","14.5494","11.0000","12.4624","107.7381","23.0354","20.5398","22.8207"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3483_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_12A_12.OKA","7/24/2024 10:32:48 PM","12-A","PM02A","","NRRL 3483","Aspergillus oryzae","",2.0000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","26.1673","11.0000","11.0000","11.0000","11.3143","22.7451","11.0919","11.0000","11.0000","11.0000","33.6803","11.0000","11.0000","11.0000","39.6790","19.2604","11.0000","13.2316","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7184","11.0000","11.0000","13.4822","11.0000","11.0000","11.0000","11.0000","12.6995","11.0000","11.0000","11.0000","12.0638","37.0116","11.0000","11.0000","11.0000","29.9020","11.0000","11.0000","11.0000","11.0000","11.0000","19.0488","49.1976","18.3133","11.0000","24.2281","11.0000","14.7056","11.0000","11.9839","11.4367","35.7558","11.0000","13.0596","21.8123","19.7607","12.5344","11.3466","16.4234","11.0000","11.0000","11.0000","11.0000","11.0000","13.3880","14.0608","19.4302","23.1437","22.1784","11.0000","13.3611","14.8848","13.7687","15.7774","14.3304","107.4585","23.7190","24.0992","22.2398"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3483_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_12A_12.OKA","7/24/2024 10:32:48 PM","12-A","PM02A","","NRRL 3483","Aspergillus oryzae","",2.2500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.7132","11.0000","11.0000","11.0000","11.0000","20.1895","13.3888","11.0000","11.0000","11.0000","37.4432","11.0000","11.0000","11.0000","45.8973","11.3475","11.3488","13.1241","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6315","14.3457","13.2600","11.0000","11.5486","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3168","11.7515","38.9727","11.0000","11.0000","11.0000","27.4719","11.0000","11.0000","11.0000","11.0000","11.0000","13.9851","44.7645","19.2864","11.4690","21.9085","11.0000","13.4785","11.0000","11.5408","11.0000","35.7309","11.0000","15.2597","14.4625","17.0468","11.0000","11.0000","16.7815","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4875","14.4410","18.9971","19.6683","11.0000","11.0000","14.3777","16.9250","11.0000","12.5527","106.3423","16.2119","21.4530","25.7519"
