"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 2217_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_17A_21.OKA","7/24/2024 10:32:48 PM","17-A","PM02A","","NRRL 2217","Aspergillus oryzae","",0.0000,"12.5144","20.3577","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","25.2160","14.6627","16.5497","11.0000","11.0000","28.1599","11.0000","11.0000","11.0000","45.2174","11.7901","13.3810","17.5860","15.2349","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7191","16.4780","11.0000","11.9747","12.4816","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.9484","43.9085","11.0000","11.0000","11.0000","25.3721","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","30.7231","17.6268","11.6890","19.6841","11.0000","11.7351","13.5091","11.0000","11.0000","34.3071","11.0000","26.4676","18.7290","21.5101","11.0000","11.0000","15.7665","14.4116","15.9349","11.0000","11.0000","11.0000","15.3315","12.3202","25.5832","23.3652","19.1178","11.0000","16.2014","21.3287","12.9879","16.6052","15.7515","110.2727","19.0219","22.8427","28.7842"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 2217_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_17A_21.OKA","7/24/2024 10:32:48 PM","17-A","PM02A","","NRRL 2217","Aspergillus oryzae","",0.2500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","25.6392","15.2704","11.0000","11.0000","11.0000","26.5240","11.0000","11.1575","11.0000","32.2705","12.7983","12.9725","17.1719","13.9155","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9267","14.3579","11.0000","14.1299","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7763","39.7481","11.0000","11.0000","11.0000","20.1253","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","30.1216","14.3399","11.1871","16.6585","11.0000","11.0000","11.0000","11.0000","11.0000","33.7449","11.1257","21.8069","15.3896","18.6217","11.0000","11.0000","14.5548","13.4902","16.8525","11.0000","11.0000","11.0000","11.0000","11.0000","22.5800","24.0074","18.3033","12.9779","14.2914","22.4604","15.4972","11.0000","11.0000","108.3183","16.9546","27.7566","24.3992"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 2217_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_17A_21.OKA","7/24/2024 10:32:48 PM","17-A","PM02A","","NRRL 2217","Aspergillus oryzae","",0.5000,"11.0000","13.3398","11.7898","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6548","16.6667","25.8727","17.0065","11.2804","11.0000","11.0000","28.2813","11.0000","13.8070","11.0000","39.5886","11.0000","14.1404","21.3448","21.3327","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.2903","11.7228","11.0000","13.3777","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2305","42.5816","11.0000","11.0000","11.0000","28.5755","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","34.8431","17.1572","12.2781","22.3837","11.0000","16.7495","13.4772","11.0000","11.0000","32.0132","11.0000","26.3419","15.4804","19.1383","11.0000","11.8130","18.2034","16.3198","16.0163","11.0000","11.0000","11.0000","11.0000","12.5478","27.8587","23.2248","16.8889","14.4279","17.6924","24.1131","17.7288","11.0000","12.1309","110.1917","22.7930","31.2459","28.0563"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 2217_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_17A_21.OKA","7/24/2024 10:32:48 PM","17-A","PM02A","","NRRL 2217","Aspergillus oryzae","",0.7500,"11.0000","22.1743","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4827","14.8870","27.7208","20.3568","12.3463","11.0609","11.0000","27.6585","11.0000","11.0000","11.0000","40.4919","11.0000","14.3057","22.8081","12.4289","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3494","15.0859","12.5473","11.0000","18.8936","11.9330","11.0000","11.0000","11.0000","14.6750","11.0000","11.0000","11.0000","19.0582","37.4566","11.0000","12.6253","11.0000","28.2276","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","35.8594","16.4267","11.0000","19.8160","12.2292","17.7504","15.7467","11.0000","11.0000","40.1066","11.0000","20.1211","19.0590","21.1521","13.6838","11.0000","19.8202","16.7061","21.1620","11.0953","11.0000","11.0000","11.0000","14.9442","29.3770","26.0306","22.7286","17.1359","16.5001","24.6425","14.3351","11.3242","15.7067","118.1728","28.8656","30.2118","25.6076"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 2217_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_17A_21.OKA","7/24/2024 10:32:48 PM","17-A","PM02A","","NRRL 2217","Aspergillus oryzae","",1.0000,"11.0000","20.7345","14.7345","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7179","11.0000","31.8488","20.2948","15.2618","11.0000","11.0000","33.0025","11.0000","11.0000","11.0000","43.8963","11.0000","14.5512","21.3148","11.5771","11.0000","18.8861","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.8045","12.2435","11.0000","21.0980","11.0000","11.0000","11.0000","11.0000","11.2537","11.0000","11.0000","11.0000","13.1284","26.3192","11.0000","11.0000","11.0000","31.3675","11.8374","11.0000","11.0000","11.0000","11.0000","12.8315","39.9249","17.6229","17.6328","23.5835","11.0000","13.6975","13.5233","11.0000","11.0000","33.4299","11.0000","24.1485","20.3414","22.8341","11.0000","11.0000","20.0285","20.7453","22.3173","11.0000","11.0000","11.0000","11.0000","11.0000","34.2019","24.8396","22.2154","13.1136","19.9265","26.8377","12.5473","14.2190","12.7500","111.7269","24.5848","34.0475","28.9069"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 2217_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_17A_21.OKA","7/24/2024 10:32:48 PM","17-A","PM02A","","NRRL 2217","Aspergillus oryzae","",1.2500,"14.3789","19.3229","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.4052","12.0742","21.4503","19.2468","15.8789","11.0000","11.0000","32.6215","11.0000","11.0000","11.0000","40.0025","11.0000","11.0000","23.2739","12.3330","11.0000","20.3594","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5718","14.3883","15.1785","11.0000","22.5673","13.1563","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7043","26.3715","11.0000","11.0000","11.0000","34.6998","11.9600","11.0000","11.0000","11.0000","11.0000","11.0000","40.2286","18.9923","17.3592","23.4458","11.1898","13.4185","14.8755","11.0000","11.0000","37.1978","11.0000","20.1581","18.1061","23.0775","11.0000","11.0000","21.9031","16.8499","20.3799","11.0000","11.0000","11.0000","11.0000","11.9716","35.0126","28.0072","23.0215","16.7002","21.4302","26.2710","14.9651","11.0000","12.0724","111.6639","26.0115","31.8951","29.0674"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 2217_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_17A_21.OKA","7/24/2024 10:32:48 PM","17-A","PM02A","","NRRL 2217","Aspergillus oryzae","",1.5000,"16.1149","21.3957","11.4912","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.1173","12.9588","24.9750","18.4252","14.5654","11.0000","11.0000","29.3368","11.0000","11.0000","11.0000","42.2505","11.0000","11.0000","23.0260","14.8777","11.0000","19.3262","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0318","13.9531","13.8160","11.0000","21.6822","13.0625","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4475","25.8468","11.0000","11.0000","11.0000","34.0424","11.5265","11.0000","11.0000","11.0000","11.0000","11.0000","39.2030","18.5330","15.1977","24.1218","11.0000","14.6277","14.9065","11.0000","11.0000","36.2565","11.0000","22.8424","19.5336","23.6497","11.0000","11.5671","20.8691","15.9523","21.9752","11.0000","11.0000","11.0000","11.0000","11.5829","33.0358","25.9567","21.9599","16.6047","19.1952","26.1151","17.6511","11.0000","11.0000","113.7904","26.8619","29.9476","29.6120"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 2217_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_17A_21.OKA","7/24/2024 10:32:48 PM","17-A","PM02A","","NRRL 2217","Aspergillus oryzae","",1.7500,"14.3479","21.0503","11.1842","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.7178","13.3695","27.3866","16.4776","16.2855","11.0000","11.0000","33.5463","11.0000","11.0000","11.0000","44.3718","11.0000","12.1182","24.6067","14.3627","11.0000","22.2738","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9848","17.1860","13.8463","11.0000","23.1777","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.5020","19.9204","11.0000","11.0000","11.0000","34.0111","11.0000","11.0000","11.0316","11.0000","11.0000","11.0000","37.6006","17.9511","18.9255","25.3510","11.0000","17.3872","16.0226","11.0000","11.0000","35.7859","11.0000","22.3371","20.9929","23.9509","11.7041","11.0000","26.0074","17.5618","19.9971","11.0000","11.0000","11.0000","11.0000","11.0000","36.9569","28.6103","23.3962","16.1907","18.7295","25.9593","16.7558","11.0000","11.0000","112.4818","27.8430","29.5515","30.3167"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 2217_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_17A_21.OKA","7/24/2024 10:32:48 PM","17-A","PM02A","","NRRL 2217","Aspergillus oryzae","",2.0000,"16.8649","26.9638","11.0000","11.0000","17.4360","11.0000","11.0000","11.0000","11.0000","15.0182","15.9970","29.7363","16.9147","13.5357","11.0000","11.0000","33.9032","11.0000","11.0000","11.0000","51.1570","11.9774","14.2523","21.2593","14.4931","11.4070","23.4271","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6808","13.2495","15.9651","11.0000","28.1332","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0986","23.8825","13.7532","11.0000","11.0000","39.7410","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","47.3242","17.7909","17.3775","24.3518","12.9889","18.8435","16.0230","11.0000","11.4991","38.3980","11.0000","25.5754","24.5944","24.3067","13.1737","13.6464","22.3797","25.8470","24.2229","11.0000","11.0000","11.0000","11.0000","15.7362","34.1589","29.9840","21.1108","16.9360","21.3765","26.3839","14.6058","16.5149","14.2011","114.1989","27.2118","33.2818","29.4448"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 2217_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_17A_21.OKA","7/24/2024 10:32:48 PM","17-A","PM02A","","NRRL 2217","Aspergillus oryzae","",2.2500,"12.7091","26.9051","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.8056","14.8739","33.6038","15.1958","11.3443","11.0000","11.0000","34.7066","11.0000","11.0000","11.0000","49.6939","11.6634","17.1824","28.0234","11.9730","11.0000","21.3503","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.6940","16.6382","17.7800","12.1949","13.6820","11.9675","11.0000","14.4755","11.0000","11.5668","11.0000","11.0000","11.2248","14.2880","25.2322","11.0000","12.8380","11.0000","41.3594","11.8623","11.0000","11.0000","11.0000","11.0000","11.0000","45.1782","20.3299","20.5674","21.6304","11.0000","19.3959","11.0000","11.0000","11.0000","34.9739","11.0000","27.2558","16.4003","24.0611","11.0000","11.5043","18.9181","19.7884","24.8546","11.0000","11.0000","11.0000","11.2569","11.0000","32.1656","22.6322","20.7048","15.2420","22.0406","28.2293","14.0426","12.2541","13.4585","115.1402","25.8866","30.9798","31.8693"
