"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 471_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_23B_33.OKA","7/24/2024 10:32:48 PM","23-B","PM02A","","NRRL 471","Aspergillus oryzae","",0.0000,"24.0575","15.7535","54.1215","18.2864","15.3486","16.0408","11.0000","14.1041","17.7267","11.0000","18.7695","27.6750","20.6045","14.2938","11.0000","11.0000","47.4232","11.0000","11.0000","11.0000","51.7904","11.0000","14.1477","20.0084","14.0619","11.0000","12.3490","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7910","13.0250","14.6689","17.7856","11.0000","11.0000","11.0000","11.0000","11.0312","11.0000","11.0000","11.0000","11.0000","11.0000","17.4049","38.5612","11.0000","11.0000","11.0000","36.0280","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","37.7864","18.1037","11.0000","17.3369","16.1465","11.6340","11.0000","11.0000","11.0000","31.5320","11.8547","11.0000","15.1073","12.0633","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9904","19.1981","14.9482","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","106.5294","11.0000","14.1512","15.4381"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 471_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_23B_33.OKA","7/24/2024 10:32:48 PM","23-B","PM02A","","NRRL 471","Aspergillus oryzae","",0.2500,"22.6349","18.3475","55.5634","15.4757","17.3838","16.4874","16.9348","13.6492","16.4092","17.4505","19.6694","27.1736","20.8823","11.0000","11.0000","11.0635","48.1047","11.0000","11.0000","11.0000","46.9441","11.2292","11.0000","15.9665","12.7409","11.0000","12.8944","11.0000","13.8958","11.0000","11.0000","11.0000","12.5840","11.5461","13.3477","15.6281","12.3711","11.0000","11.0000","11.0000","11.0000","13.2202","11.0000","11.0000","11.0000","11.0000","11.0000","17.2490","36.5678","11.0000","11.0000","11.0000","34.3878","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","38.3816","16.9915","11.0000","17.6175","15.4151","11.0000","11.0000","11.0000","11.0000","31.1547","11.0000","11.0000","14.4677","13.8814","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.5345","11.1855","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","108.5378","11.0000","17.1345","16.5598"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 471_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_23B_33.OKA","7/24/2024 10:32:48 PM","23-B","PM02A","","NRRL 471","Aspergillus oryzae","",0.5000,"19.9064","12.1955","46.4464","13.5733","15.1026","15.0598","11.0000","12.8549","13.7595","11.0000","17.8270","27.9293","16.7078","13.9934","11.0000","11.0000","48.7213","11.0000","11.0000","11.0000","51.4731","11.0000","15.6370","15.5090","11.1575","11.0000","15.6261","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9301","13.4315","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7886","30.1645","11.0000","11.0000","11.0000","33.2784","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","29.0299","15.5788","11.0000","16.0595","11.0000","11.0000","11.0000","11.0000","11.0000","26.9993","11.0000","11.0000","14.9335","12.6376","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.8912","12.7457","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","106.3649","11.0000","19.1822","16.6572"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 471_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_23B_33.OKA","7/24/2024 10:32:48 PM","23-B","PM02A","","NRRL 471","Aspergillus oryzae","",0.7500,"21.4394","15.8451","50.8286","11.1586","12.9651","17.1337","11.0000","15.3256","12.3347","11.7719","17.1255","29.2902","20.9171","13.6369","13.6280","11.0000","49.0588","12.7177","11.0000","11.0000","53.5423","11.0000","13.0788","15.2622","12.0139","11.0000","18.9534","11.0000","13.7172","11.0000","11.0000","11.0000","11.0000","13.4777","13.1237","13.4688","11.6076","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6722","11.0000","11.0000","11.0328","27.8600","11.0000","11.0000","11.0000","33.7997","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","31.5115","13.9372","11.0000","20.0518","13.1706","12.9506","13.7146","11.0000","11.0000","34.7138","11.0000","12.9245","14.0508","14.5134","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1928","14.0113","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","106.6981","11.0000","16.4083","19.1086"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 471_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_23B_33.OKA","7/24/2024 10:32:48 PM","23-B","PM02A","","NRRL 471","Aspergillus oryzae","",1.0000,"22.7299","12.4274","47.5410","13.6476","14.4208","15.5834","12.2794","12.6957","15.3412","17.4334","21.0117","24.8540","18.6416","11.0000","11.0000","11.0000","47.1308","11.0000","11.0000","11.0000","51.8341","11.0000","14.4820","19.4452","13.7270","11.0000","21.0696","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2264","17.2524","13.7238","11.0000","11.0000","11.0000","11.0000","13.7755","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","25.9842","11.0000","11.0000","11.0000","35.0988","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","32.4072","18.2133","11.0000","21.8056","12.2422","14.3475","12.1948","11.0000","11.0000","35.6313","11.0000","13.8582","16.8305","12.0692","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.9845","13.6988","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","107.3702","11.0000","14.0734","15.1362"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 471_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_23B_33.OKA","7/24/2024 10:32:48 PM","23-B","PM02A","","NRRL 471","Aspergillus oryzae","",1.2500,"19.9824","12.1661","49.4175","13.0214","16.5392","14.9121","15.7030","12.6349","15.6539","13.3038","18.6529","27.3398","19.5143","13.8696","11.0000","11.0000","51.6140","11.0000","11.0000","11.0000","55.1660","12.3093","15.3956","20.6794","11.8894","11.0000","24.0881","11.0000","12.3693","11.0000","11.0000","11.0000","11.0000","12.5436","11.0000","16.3818","12.2423","11.0000","11.0000","11.0000","11.0000","13.6188","11.0000","11.2866","11.0000","11.0000","11.0000","11.3613","26.6774","11.0000","11.0000","11.0000","39.3674","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","36.9042","16.4570","11.0000","11.8933","11.0000","13.6362","13.6004","11.0000","11.0000","35.6835","11.0000","12.3785","16.3579","14.8121","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3135","17.4186","12.9474","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","112.2272","11.0000","19.3821","20.5540"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 471_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_23B_33.OKA","7/24/2024 10:32:48 PM","23-B","PM02A","","NRRL 471","Aspergillus oryzae","",1.5000,"19.8270","14.1419","48.7344","14.1900","15.4947","17.2723","13.4821","11.4004","13.7591","13.2704","19.3849","26.5179","20.6683","11.0000","11.0000","12.7178","52.4543","11.0000","11.0000","11.0000","57.1587","12.7021","16.7078","20.9106","11.0000","11.0000","23.7395","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3185","11.0000","18.4619","14.3766","11.0000","11.0000","11.0000","11.0000","12.8082","11.0000","11.2229","11.0000","11.0000","11.0000","13.6273","22.7351","11.0000","11.0000","11.0000","35.4425","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","34.7534","15.8096","11.0000","12.8174","12.5588","18.2655","14.7737","11.0000","11.0000","35.8101","11.2864","13.1479","18.6766","12.8908","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.7020","11.0309","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","109.3386","11.0000","17.0874","19.0341"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 471_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_23B_33.OKA","7/24/2024 10:32:48 PM","23-B","PM02A","","NRRL 471","Aspergillus oryzae","",1.7500,"19.2986","13.9152","45.5465","13.5899","15.6529","16.2701","14.8538","11.1335","15.5209","13.9382","20.6160","25.2686","21.2921","12.2864","11.6414","12.6224","53.9793","13.5424","11.0000","11.0000","58.2041","11.0000","15.6253","19.5892","13.6364","11.0000","21.9332","11.0000","11.0000","11.0000","11.0000","11.0000","11.2559","11.0000","11.0000","14.7310","13.6439","11.0000","11.0000","11.0000","11.0000","14.8347","11.0000","14.6616","11.0000","11.0000","11.0000","13.0362","22.8268","11.0000","11.0000","11.0000","37.9953","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","33.8995","15.1621","11.0000","13.3719","11.7794","17.3011","22.9236","11.0000","11.0000","36.1582","11.0000","11.0000","14.6973","15.0560","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6018","16.8889","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","108.9535","11.0000","16.1631","19.6545"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 471_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_23B_33.OKA","7/24/2024 10:32:48 PM","23-B","PM02A","","NRRL 471","Aspergillus oryzae","",2.0000,"19.8509","16.5688","47.2144","11.0000","15.0524","14.8748","12.9959","15.8131","16.3224","11.0000","20.1913","28.2933","20.9850","11.0000","11.0000","11.0000","53.2275","11.0000","11.0000","11.0000","59.5051","11.0000","13.8581","17.4046","15.8306","11.0000","28.9582","11.0000","11.0000","11.0000","11.0000","11.0000","12.3717","11.6447","15.5627","15.5185","11.0000","11.0000","11.0000","11.0000","11.0000","12.4153","11.0000","14.8262","11.0000","11.0000","11.0000","15.8124","20.5540","11.0000","11.0000","11.0000","35.0251","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","37.6476","15.5636","11.0000","11.0000","11.6840","18.3913","17.9188","11.0000","11.0000","34.9176","11.0000","11.0000","16.0621","12.8425","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4752","12.2926","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","109.1139","11.0000","18.0316","20.8780"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 471_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_23B_33.OKA","7/24/2024 10:32:48 PM","23-B","PM02A","","NRRL 471","Aspergillus oryzae","",2.2500,"19.6056","12.1687","47.0702","16.3495","13.2210","17.4898","11.0000","13.9121","13.2298","16.7311","15.3361","25.9094","18.2802","13.3924","11.0000","11.0000","48.6912","11.0000","11.0000","11.0000","59.7024","11.0000","11.0000","20.3051","12.3313","11.0000","24.8813","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9475","15.6439","17.8177","11.0000","11.0000","11.0000","11.0000","12.6367","11.0000","18.4333","11.0000","11.0000","11.0000","15.7599","25.1229","11.0000","11.0000","11.0000","43.6801","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","39.9013","14.1447","11.0000","12.4220","14.2204","19.7768","20.6426","11.0000","11.0000","35.8558","11.0000","11.0000","13.9416","11.1222","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.2113","14.6325","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","110.2126","11.0000","18.4461","18.7052"
