"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3483_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_13B_15.OKA","7/24/2024 10:32:48 PM","13-B","PM02A","","NRRL 3483","Aspergillus oryzae","",0.0000,"27.3913","17.6290","19.6307","13.7324","17.3024","16.4903","12.2876","15.7552","20.0678","16.1768","22.6875","34.7840","20.6669","16.1527","11.9023","11.0000","50.0382","15.8611","11.0000","11.0000","48.7677","11.0000","14.8690","26.9858","18.4179","11.0000","11.7843","11.0000","13.6921","11.0000","11.0000","11.0000","11.1275","15.3814","11.6750","22.5308","18.5746","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5409","15.7143","33.8918","11.0000","11.0000","11.0000","24.5594","11.0000","11.0000","11.0000","11.0000","11.0000","11.5813","29.6078","17.8282","11.0000","17.5829","13.8044","11.0000","11.0000","11.0000","11.0000","41.7035","11.0000","12.3506","15.4836","19.3846","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3577","13.9381","11.0000","18.1153","22.3244","15.5549","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","102.2894","11.0000","15.7746","18.7278"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3483_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_13B_15.OKA","7/24/2024 10:32:48 PM","13-B","PM02A","","NRRL 3483","Aspergillus oryzae","",0.2500,"28.2197","22.6469","23.1886","13.8997","15.8353","18.1882","19.9184","14.3115","18.1348","16.0207","17.4771","35.3587","21.0693","11.0000","11.0000","11.7306","51.2328","11.0000","11.9690","11.0000","47.4361","12.7678","11.0000","20.4032","20.7174","11.0000","11.0000","11.0000","14.7677","11.0000","11.0000","11.0000","11.6653","12.3170","11.9327","17.0395","13.9335","11.2934","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3660","18.3231","29.7253","11.0000","11.0000","11.0000","27.9000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","30.3412","19.7876","11.0000","19.9875","11.0000","11.0000","11.0000","11.0000","11.0000","33.8929","11.0000","11.0000","22.3092","14.5251","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0277","12.7969","11.2246","17.2942","19.8716","17.0742","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","102.7190","11.0000","16.2446","23.5795"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3483_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_13B_15.OKA","7/24/2024 10:32:48 PM","13-B","PM02A","","NRRL 3483","Aspergillus oryzae","",0.5000,"30.4208","23.0515","18.9527","14.0754","20.5307","18.7680","17.2558","12.3580","16.4858","16.4628","18.5230","37.1634","24.4431","17.7677","12.2831","11.8228","54.1411","13.9288","12.4170","11.0000","57.7222","13.8333","16.4207","19.2281","23.4750","11.0000","12.5420","11.0000","12.5088","11.0000","11.3509","11.0000","11.8594","11.0966","13.1862","18.6381","18.9891","13.9962","11.0000","11.0000","11.0000","14.6503","11.0000","11.0000","11.0000","11.0000","14.1884","22.0743","31.2308","11.0000","11.0000","11.0000","27.0353","11.0000","11.0000","11.0000","11.0000","11.0000","18.3304","35.6093","18.2216","11.0000","16.3680","11.0000","11.0000","11.0000","11.0000","11.0000","32.1624","11.0000","13.3475","23.1125","20.0980","12.7397","11.0000","11.0000","11.0000","13.9404","11.0000","11.0000","16.9319","19.1392","11.0000","20.2398","21.7804","24.6935","11.0000","11.0000","11.8829","11.0000","11.0000","11.0000","105.1448","11.0000","20.7679","23.2418"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3483_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_13B_15.OKA","7/24/2024 10:32:48 PM","13-B","PM02A","","NRRL 3483","Aspergillus oryzae","",0.7500,"30.5117","16.3979","19.7105","17.0569","15.4373","17.8116","21.9840","18.1323","20.0426","16.9741","21.7781","38.9306","25.0960","14.5928","19.8455","11.0000","49.6221","11.3181","11.2260","11.0000","57.9399","13.6593","14.8276","20.0861","21.8999","12.4715","12.2940","11.0000","16.4343","11.0000","11.0000","11.0000","11.0000","15.5048","13.7351","20.3486","14.4217","12.6718","11.0000","11.0000","11.0000","13.1338","11.0000","11.0000","11.0000","11.0000","15.8956","22.4989","28.4127","11.0000","11.0000","11.0000","30.6429","11.0000","11.0000","11.0000","11.0000","11.0000","17.3128","31.9900","19.1005","11.0000","18.5071","11.0620","16.4360","11.0000","11.0000","11.0000","36.8175","11.0000","17.6717","22.5426","17.6602","11.7646","11.0000","12.6685","11.0000","13.9613","11.0000","11.0000","17.5842","16.0492","11.0000","16.7403","19.3996","23.4041","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","107.7911","11.6763","20.6396","21.5318"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3483_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_13B_15.OKA","7/24/2024 10:32:48 PM","13-B","PM02A","","NRRL 3483","Aspergillus oryzae","",1.0000,"32.2005","18.3964","15.5189","16.0115","17.8099","16.4226","19.3327","15.2560","12.6029","18.4282","22.1388","37.4817","26.7199","16.7182","14.9382","11.0000","47.4133","11.0000","13.9015","11.0000","63.3197","15.8635","13.9564","21.6885","20.5762","14.5417","11.1888","11.0000","20.7669","11.0000","11.0000","11.0000","11.0000","12.5726","11.1940","16.5285","16.3842","13.9807","11.0000","11.0000","11.0000","15.3348","11.0000","11.0000","11.0000","11.0000","17.1019","15.9399","33.4457","11.0000","11.0000","11.0000","31.3643","11.0000","11.0000","11.0000","11.0000","11.0000","11.7801","30.1522","26.0123","11.0000","18.7183","11.0000","17.6312","11.0000","11.0000","11.0000","37.9424","11.0000","17.6476","22.2849","19.1261","11.1277","11.2476","12.6077","11.0000","11.0000","11.0000","11.0000","22.3759","16.7745","12.4138","20.9301","26.1501","19.4231","13.3985","11.0000","11.0000","11.0000","11.0000","11.8879","105.0229","11.0000","19.3559","17.7485"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3483_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_13B_15.OKA","7/24/2024 10:32:48 PM","13-B","PM02A","","NRRL 3483","Aspergillus oryzae","",1.2500,"32.3836","20.6525","18.4493","15.0428","16.3493","25.2259","25.9255","11.0000","19.5765","15.6076","22.1133","45.3564","27.8416","14.9251","16.3879","11.0000","56.9359","15.0997","15.2060","11.0000","64.1168","16.2699","12.9354","19.4240","21.2280","11.0000","11.0000","11.0000","38.9765","11.0000","11.5753","11.0000","11.5118","11.0000","11.7762","18.3959","14.8225","15.7723","11.0000","11.0000","11.0000","16.1441","11.0000","11.0000","11.0000","11.0000","15.5910","20.6882","35.7537","11.0000","11.0000","11.0000","32.6026","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","35.2595","25.4287","11.0000","20.4876","11.9977","11.7073","11.0000","11.0000","11.0000","37.4873","11.0318","17.9246","24.8178","16.3064","11.6693","11.0000","11.0000","11.0000","12.5914","11.0000","11.0000","26.1023","19.3584","11.8970","21.0953","20.6752","21.0821","12.6231","11.0000","11.0000","11.0000","11.0000","11.0000","108.3437","11.0000","20.8481","20.1508"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3483_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_13B_15.OKA","7/24/2024 10:32:48 PM","13-B","PM02A","","NRRL 3483","Aspergillus oryzae","",1.5000,"28.4364","17.4134","16.5300","12.5161","13.4056","25.7432","23.5413","19.0743","17.5819","20.0816","17.6214","39.3728","27.9039","18.4874","20.3646","11.0636","56.5624","14.6230","17.4061","11.0000","67.2202","15.4516","16.3797","18.2678","27.7078","11.0000","11.0000","11.0000","37.3583","11.0000","17.1363","11.0000","11.0000","11.6110","11.0000","16.4809","14.2491","13.1574","11.0000","11.0000","11.0000","17.4536","11.0000","11.0000","11.0000","11.0000","15.0008","20.8852","37.0067","11.0000","11.0000","11.0000","30.9114","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","37.8531","23.4556","11.0000","22.5514","11.0000","13.8612","11.0000","11.0000","11.0000","38.7532","11.0000","19.2070","24.3792","15.6660","11.0000","11.0000","11.0000","11.0000","13.5144","11.0000","11.0000","25.9430","18.8160","11.5126","16.4839","20.2116","21.5893","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","109.0819","11.0000","18.7447","19.3443"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3483_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_13B_15.OKA","7/24/2024 10:32:48 PM","13-B","PM02A","","NRRL 3483","Aspergillus oryzae","",1.7500,"33.2850","20.1342","22.4179","26.0026","19.4196","28.9764","23.6719","14.9037","18.8784","18.4456","18.7527","47.1317","27.4361","19.1471","22.1606","12.3361","56.3134","18.3095","19.7355","11.0000","67.6122","17.4811","12.8042","20.3160","29.2642","11.0000","11.0000","11.0000","42.4308","11.0000","17.6796","11.0000","11.0000","11.0000","11.0000","18.2968","14.9181","12.1767","11.0000","11.0000","11.0000","18.0771","11.0000","11.0000","11.0000","11.0000","17.2635","20.6882","38.2291","11.0000","11.0000","11.0000","33.7832","11.0000","11.0000","11.0000","11.0000","11.0000","12.3039","38.5806","27.6177","11.0000","21.4117","11.0000","13.8933","11.0000","11.0000","11.0000","37.2975","11.2864","22.3487","22.9692","18.1972","13.3586","11.0000","11.0000","11.0000","13.3234","11.0000","11.0000","26.1661","26.3130","11.0000","15.7361","19.0369","22.6673","14.9329","11.0000","11.0000","11.0000","11.0000","11.0000","110.4940","12.9339","20.1470","21.5467"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3483_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_13B_15.OKA","7/24/2024 10:32:48 PM","13-B","PM02A","","NRRL 3483","Aspergillus oryzae","",2.0000,"34.1486","24.0368","23.5582","22.6725","15.0841","30.5031","26.9674","17.7910","22.6696","16.1641","19.7584","49.4002","25.4331","23.8838","20.8762","11.0000","55.1384","12.0514","20.3336","11.8118","73.4711","14.6003","12.2812","22.0355","31.6170","15.5432","16.8396","11.0000","43.7861","11.0000","17.6839","11.0000","11.9251","13.7076","18.3386","22.6891","14.6896","18.6664","11.0000","11.0000","11.0000","14.4282","11.0000","11.0000","11.0000","11.0000","19.7931","22.5564","44.8677","11.0000","11.6206","21.7897","32.0380","11.0000","11.0000","11.0000","11.3805","11.6851","12.9861","36.1917","25.2458","11.0000","21.0714","13.7672","20.6852","11.0000","11.0000","11.0000","35.0771","11.0000","15.9931","29.2487","16.9574","14.7155","11.0000","14.5577","11.0000","13.9105","11.0000","11.0000","26.4418","22.9312","12.2169","15.4829","22.8799","23.7074","15.0141","11.0000","11.0000","11.0000","11.0000","11.1589","111.9355","11.0000","22.3709","24.1603"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL2\DATA_2024\07\_NRRL 3483_Aspergillus oryzae__2_30_CL2_769_7#24#2024_A_13B_15.OKA","7/24/2024 10:32:48 PM","13-B","PM02A","","NRRL 3483","Aspergillus oryzae","",2.2500,"34.1451","17.0056","23.7364","24.8457","12.8402","27.1114","20.3670","16.7249","19.9526","16.6311","18.1378","28.3670","20.9673","16.4403","18.9148","14.1325","51.9578","12.1133","16.5551","11.0000","75.7074","17.2722","13.5107","19.2162","28.2117","13.1874","13.5496","11.0000","42.5639","11.0000","14.6566","11.0000","11.0000","11.0000","16.6542","19.3986","15.7345","11.0000","11.0000","11.0000","11.0000","19.8129","11.0000","11.4447","11.0000","11.0000","18.6668","21.5305","40.0390","11.0000","11.0000","11.0000","35.9293","11.0000","11.0000","11.0000","11.0000","11.0000","12.2988","37.9135","24.9663","11.0000","22.2216","14.9636","18.2713","11.0000","11.0000","11.0000","38.2746","11.0000","16.6227","29.3068","13.8097","11.1594","11.0000","14.4179","11.0000","16.8176","11.0000","11.0000","26.8795","22.6675","11.5452","16.8747","19.4040","21.3100","13.4234","11.0000","11.0000","11.0000","11.0000","11.0000","110.3086","11.0000","21.2978","19.4198"
