"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 35890_Aspergillus oryzae__1_30_CL3_769_8#19#2024_A_13A_14.OKA","8/19/2024 7:16:29 PM","13-A","PM01","","NRRL 35890","Aspergillus oryzae","",0.0000,"12.4218","22.8482","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4487","11.2137","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","46.9976","11.0000","11.0000","11.0000","15.7260","11.0000","11.0000","11.0000","37.1042","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7028","19.1905","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3015","16.2177","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.9386","18.0949","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.7998","17.5405","22.7277","20.1902","11.0000","15.9174","23.1660","80.8879","24.5232","12.0700","15.7020","15.6029","16.5135","26.1786"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 35890_Aspergillus oryzae__1_30_CL3_769_8#19#2024_A_13A_14.OKA","8/19/2024 7:16:29 PM","13-A","PM01","","NRRL 35890","Aspergillus oryzae","",0.2500,"11.5873","25.9827","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.0532","12.4960","11.0000","11.0000","15.3557","11.0000","11.0000","11.0000","49.3108","11.0000","11.0000","13.6338","18.1971","11.0000","11.0000","11.0000","39.3556","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0961","23.5427","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7896","17.6296","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2525","13.8089","15.6750","11.0000","13.9785","11.0000","11.0000","11.0000","12.4857","11.0000","11.0000","11.0000","11.7236","17.9703","18.6685","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9368","11.0000","25.2472","17.4757","28.3051","23.5975","13.5472","18.1442","28.7667","86.8473","29.3093","13.5940","16.5127","16.6149","19.5328","28.5853"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 35890_Aspergillus oryzae__1_30_CL3_769_8#19#2024_A_13A_14.OKA","8/19/2024 7:16:29 PM","13-A","PM01","","NRRL 35890","Aspergillus oryzae","",0.5000,"11.0619","26.1864","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6390","11.0000","11.0000","11.0000","14.9278","11.0000","11.0000","11.0000","48.7637","11.0000","11.0000","12.0830","15.0671","11.0000","11.0000","11.0000","35.0351","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9649","15.6403","11.0000","11.0000","11.0000","11.0000","13.4566","11.0000","11.0000","11.0000","11.0000","11.0000","14.6542","22.6026","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5435","11.0000","11.0000","14.8603","11.0000","20.6989","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0942","23.2355","19.5030","11.0000","11.0000","16.4688","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","34.2899","18.2663","30.2633","23.6674","16.8913","24.3487","24.6835","89.5469","35.4734","18.3660","15.5027","13.7122","18.9519","32.7752"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 35890_Aspergillus oryzae__1_30_CL3_769_8#19#2024_A_13A_14.OKA","8/19/2024 7:16:29 PM","13-A","PM01","","NRRL 35890","Aspergillus oryzae","",0.7500,"14.5857","29.4239","11.0000","14.1678","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.8014","14.7600","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","49.6937","11.0000","11.0000","11.9574","21.9377","17.3325","11.0000","11.0000","39.3845","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.5876","14.7113","17.9949","11.0000","11.0000","11.0000","11.0000","12.2138","11.0000","11.0000","11.0000","11.0000","11.0000","16.8279","16.8093","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1067","11.0000","12.7960","13.1650","15.7558","11.0000","14.0072","11.0000","12.2327","11.0000","11.0000","11.0000","11.0000","11.0000","19.6245","29.7891","18.8384","11.0000","14.5027","13.4537","11.0000","13.6529","11.4736","11.0000","11.9599","11.0000","37.4856","22.1213","30.8054","19.3525","15.7315","23.9388","25.6789","92.6382","42.2958","20.2032","14.6158","11.5233","16.9526","33.1725"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 35890_Aspergillus oryzae__1_30_CL3_769_8#19#2024_A_13A_14.OKA","8/19/2024 7:16:29 PM","13-A","PM01","","NRRL 35890","Aspergillus oryzae","",1.0000,"16.9659","29.9409","11.0000","11.0000","14.0971","11.0000","12.3895","11.0000","11.0000","11.0000","11.0000","17.3819","13.3750","11.0000","11.0000","15.1197","11.0000","11.0000","11.0000","49.9000","11.0000","11.0000","11.0000","22.1737","12.2781","11.0000","11.0000","38.6338","11.0000","11.0000","11.0000","12.4795","11.0000","11.0000","11.0000","14.2900","19.0921","11.0000","11.0000","11.0000","11.0000","16.1026","11.0000","11.0000","11.0000","11.0000","11.0000","18.3862","16.9629","11.0000","11.0000","13.5997","11.0000","11.0000","11.0000","11.0000","11.9461","11.0000","11.0000","13.2318","13.4134","11.0000","18.4421","11.0000","13.3613","11.0000","11.0000","11.0000","11.0000","11.0000","13.0404","28.2816","21.6897","11.0000","11.0000","11.0000","11.0000","12.1691","11.0000","11.0000","11.0000","11.0000","39.6550","23.9951","19.3907","25.7446","15.1754","23.4982","18.4600","93.9675","41.2811","22.8789","12.2846","15.1878","14.4333","33.8591"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 35890_Aspergillus oryzae__1_30_CL3_769_8#19#2024_A_13A_14.OKA","8/19/2024 7:16:29 PM","13-A","PM01","","NRRL 35890","Aspergillus oryzae","",1.2500,"15.2543","29.2765","11.0000","11.2142","12.8308","11.0000","13.7452","11.0000","11.0000","11.0000","11.0000","14.3123","14.2756","11.0000","11.0000","15.9622","11.0000","11.0000","11.0000","50.7677","11.0000","11.0000","12.9860","17.7465","12.9380","11.0000","11.0000","41.8818","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.3748","15.4584","11.0000","11.0000","11.0000","11.0000","15.6351","11.0000","11.0000","11.0000","11.0000","11.0000","18.0839","19.5117","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5817","11.0000","11.0000","14.4636","16.3006","11.0000","11.0000","11.0000","15.0693","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","28.1611","20.0033","11.0000","14.6222","11.0000","11.0000","11.7231","12.4268","11.0000","11.4481","11.0000","43.2608","16.9987","20.5059","19.2915","19.6385","25.0321","20.1014","97.4309","42.4743","17.7873","18.8229","14.8547","18.8862","35.2775"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 35890_Aspergillus oryzae__1_30_CL3_769_8#19#2024_A_13A_14.OKA","8/19/2024 7:16:29 PM","13-A","PM01","","NRRL 35890","Aspergillus oryzae","",1.5000,"11.0000","34.3308","11.0000","14.1581","11.7268","11.0000","13.8169","11.0000","11.0000","11.0000","11.0000","16.6051","11.0000","11.0000","11.0000","18.3754","11.0000","11.0000","11.0000","51.9464","11.0000","11.0000","11.4462","15.5226","11.0000","11.0000","11.0000","41.5846","11.0000","11.0000","11.0000","11.2824","11.0000","11.0000","11.0000","16.0191","14.4106","11.0000","11.0000","11.0000","11.0000","14.9080","11.0000","11.0000","11.0000","11.0000","11.0000","20.8794","24.0557","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.2615","11.0000","11.0000","11.5756","14.1916","11.0000","11.0000","11.0000","11.0000","11.0000","14.2816","11.0000","11.0000","11.0000","15.0315","28.5502","20.7912","11.0000","13.9868","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","48.5548","16.6545","20.8907","22.1521","15.5813","27.8884","17.4667","101.5231","12.1960","11.0000","18.1094","12.1417","21.2314","38.7820"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 35890_Aspergillus oryzae__1_30_CL3_769_8#19#2024_A_13A_14.OKA","8/19/2024 7:16:29 PM","13-A","PM01","","NRRL 35890","Aspergillus oryzae","",1.7500,"11.0000","35.8679","11.0000","15.4875","12.0498","11.0000","14.7825","11.0000","11.0000","11.0000","11.0000","19.2485","11.0000","11.0000","11.0000","18.8183","11.0000","11.0000","11.0000","49.8953","11.0000","11.0000","11.0000","16.7382","13.2994","11.0000","11.0000","42.3658","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7971","17.2211","11.0000","11.0000","11.0000","11.0000","22.6362","11.0000","11.0000","11.0000","11.0000","11.0000","23.2682","20.0092","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.1307","11.0000","15.2532","12.5686","18.4130","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9099","22.7701","17.3491","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","48.9997","18.4096","23.2306","17.5935","23.3759","13.9389","18.5826","103.7534","14.0680","16.4294","14.9069","13.1569","21.9102","34.6129"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 35890_Aspergillus oryzae__1_30_CL3_769_8#19#2024_A_13A_14.OKA","8/19/2024 7:16:29 PM","13-A","PM01","","NRRL 35890","Aspergillus oryzae","",2.0000,"11.0000","36.0000","11.0000","13.6337","15.8702","11.0000","11.5081","11.0000","11.0000","11.0000","11.0000","13.9533","13.7413","11.0000","11.0000","15.4188","11.0000","11.0000","11.0000","51.3668","11.0000","11.0000","13.5370","15.2543","11.5758","11.0000","11.0000","40.9583","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8048","19.8523","11.0000","11.0000","11.0000","11.0000","22.4562","11.0000","11.0000","11.0000","11.0000","11.0000","23.2050","21.1220","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6110","11.0000","14.0045","12.4653","13.9386","11.0000","11.0000","11.0000","11.0000","11.0000","11.6015","11.0000","11.0000","11.0000","11.0000","14.5287","19.6594","11.0000","11.0000","11.0000","11.0000","11.2196","11.0000","11.0000","11.3847","11.0000","49.7771","16.3089","19.1563","21.2010","22.5200","11.0000","18.0931","94.6376","14.9257","11.0000","17.5965","11.0000","20.6486","36.5737"
"C:\Users\cfg364\Sommerlab Dropbox\Casper van der Luijt\Casper\Data\BioLog\OmniLog\CL3\DATA_2024\08\_NRRL 35890_Aspergillus oryzae__1_30_CL3_769_8#19#2024_A_13A_14.OKA","8/19/2024 7:16:29 PM","13-A","PM01","","NRRL 35890","Aspergillus oryzae","",2.2500,"11.0000","33.1455","11.0000","13.7689","16.9283","11.0000","15.6250","11.0000","11.0000","11.0000","12.8259","18.1540","13.0692","11.0000","11.1525","19.4945","11.0000","11.0000","11.0000","55.6255","11.0000","11.0000","11.0000","17.6752","13.5064","11.0000","11.0000","40.1912","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.1604","11.0000","11.0000","11.0000","11.0000","19.8568","11.0000","11.0000","11.0000","11.0000","11.0000","21.1990","17.6306","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.1476","11.0000","11.0000","11.0000","21.6728","11.0000","11.0000","11.0000","11.0000","11.0000","11.7291","11.0000","11.0000","11.0000","14.8195","17.7591","19.6002","11.0000","11.0943","11.0000","11.0000","11.0000","11.0000","17.7496","11.6062","11.0000","57.8651","19.3428","24.0403","22.1381","18.8804","14.3821","15.9799","84.7733","19.4635","17.0590","19.9305","14.1109","23.5164","37.8168"
