r502
r503
r504
r505
r506
r507
r508
r509
r517
r1902
r1903
r1910
r1917
r1924
r1931
r1938
r1941
r1943
r1944
r1945
r1946
r1947
r1948
r1949
r1950
r1951
r1952
r1953
r1954
r1955
r1956
r1957
r1958
r1959
r1960
r1961
r1962
r1963
r1964
r1965
r1966
r1967
r1968
r1969
r1970
r1971
r1972
r1973
r1974
r1975
r1976
r1977
r1978
r1979
r1980
r1981
r1982
r1983
r1988
r1992
r1997
r2003
r2007
r2012
r2018
r2023
r2027
r2031
r2035
r2040
r2044
r2052
r2056
r2060
r2064
r2070
r2074
r2079
r2081
r2083
r2085
r2086
r2087
r2088
r2089
r2090
r2091
r2092
r2093
r2095
r2098
r2099
r2101
r2102
r2103
r2104
r2105
r2106
r2107
r2108
r2109
r2110
r2111
r2112
r2113
r2114
r2115
r2116
r2117
r2118
r2119
r2120
r2124
r2125
r2126
r2127
r2128
r2129
r2130
r2131
r2132
r2133
r2134
r2135
r2136
r2137
r2138
r2139
r2140
r2141
r2142
r2143
r2144
r2145
r2146
r2147
r2148
r2149
r2150
r2151
r2152
r2153
r2154
r2155
r2156
r2157
r2158
r2159
r2160
r2161
r2162
r2163
r2164
r2165
r2166
r2167
r2168
r2169
r2170
r2171
r2172
r2173
r2174
r2175
r2176
r2177
r2178
r2179
r2180
r2181
r2182
r2183
r2184
r2185
r2186
r2187
r2188
r2190
r2192
r2193
r2194
r2195
r2196
r2197
r2198
Ani_r2367
Ani_r1276
Artificial_Ala_Asp_uptake
Gap_Xanthine_r2
Gap_Putrescine_r1
Gap_3HPA_r1
Artificial_Tyramine_uptake
Gap_4HBA_r1
Gap_L_Ornithine_r1
Gap_Arbutin_r2
Gap_Agmatine_r1
Gap_b_Phenylethylamine_r1
Gap_Rhamnose_r1
Gap_Adonitol_r1
Gap_Sorbac_r1
Gap_L_Tryptophan_r7
Gap_L_Norvaline_r1
Gap_Dihydroxy_Acetone_r1
Artificial_L_Lyxose_uptake
Gap_Sorbac_r2
Gap_L_Norvaline_r2
Artificial_Met_Ala_uptake
Gap_4HPA_r1
Ani_r2036
Ani_r1119
Ani_r1180
