,Isolate,Medium,plateID,Condition,Location_growth,Location_ATP,Growth,Oxygen_growth,ATP,Oxygen_ATP
0,Pan_oryzae,L_Arabinose,PM01,L_Arabinose-PM01,Extracellular,Extracellular,45.00268105290529,0.0,1000.0,175.9090909090909
1,template,L_Arabinose,PM01,L_Arabinose-PM01,Extracellular,Extracellular,32.89917742975841,410.90677286965297,1000.0,347.14747039827773
2,Aspergillus_oryzae_RIB40_CAoGD,L_Arabinose,PM01,L_Arabinose-PM01,Extracellular,Extracellular,33.29120902341065,391.60274330926643,1000.0,487.71266540642694
3,Aspergillus_oryzae_NRRL_2217,L_Arabinose,PM01,L_Arabinose-PM01,Extracellular,Extracellular,42.958865754379566,420.67792558385526,1000.0,487.71266540642733
4,Aspergillus_oryzae_NRRL_3483,L_Arabinose,PM01,L_Arabinose-PM01,Extracellular,Extracellular,42.928149902737836,524.1660332378101,1000.0,487.71266540642733
5,Aspergillus_oryzae_NRRL_5589,L_Arabinose,PM01,L_Arabinose-PM01,Extracellular,Extracellular,42.92814990273773,525.149002830349,1000.0,487.71266540642733
6,Aspergillus_oryzae_NRRL_3488,L_Arabinose,PM01,L_Arabinose-PM01,Extracellular,Extracellular,42.9281499027378,525.1490028303489,1000.0,487.71266540642733
7,Aspergillus_oryzae_NRRL_5592,L_Arabinose,PM01,L_Arabinose-PM01,Extracellular,Extracellular,42.9281499027378,525.1490028303489,1000.0,487.71266540642733
8,Aspergillus_oryzae_NRRL_35890,L_Arabinose,PM01,L_Arabinose-PM01,Extracellular,Extracellular,42.95886575437693,525.1879137049857,1000.0,487.71266540642733
9,Aspergillus_oryzae_NRRL_471,L_Arabinose,PM01,L_Arabinose-PM01,Extracellular,Extracellular,42.928149902737715,525.149002830349,1000.0,487.71266540642733
10,Pan_oryzae,D_Xylose,PM01,D_Xylose-PM01,Extracellular,Extracellular,45.00268105290527,451.0540452787275,1000.0,175.9090909090909
11,template,D_Xylose,PM01,D_Xylose-PM01,Extracellular,Extracellular,32.899177429758566,720.7593598455055,1000.0,276.42857142857144
12,Aspergillus_oryzae_RIB40_CAoGD,D_Xylose,PM01,D_Xylose-PM01,Extracellular,Extracellular,33.29120902341069,710.7656438436993,1000.0,276.42857142857144
13,Aspergillus_oryzae_NRRL_2217,D_Xylose,PM01,D_Xylose-PM01,Extracellular,Extracellular,42.95886575437713,761.4961548515893,1000.0,276.42857142857144
14,Aspergillus_oryzae_NRRL_3483,D_Xylose,PM01,D_Xylose-PM01,Extracellular,Extracellular,42.9281499027377,762.7332373958458,1000.0,276.42857142857144
15,Aspergillus_oryzae_NRRL_5589,D_Xylose,PM01,D_Xylose-PM01,Extracellular,Extracellular,42.92814990273756,762.8913202034697,1000.0,276.42857142857144
16,Aspergillus_oryzae_NRRL_3488,D_Xylose,PM01,D_Xylose-PM01,Extracellular,Extracellular,42.9281499027379,753.3325367704372,1000.0,276.42857142857144
