"","A01 (Negative Control)","A02 (Ammonia)","A03 (Sodium Nitrite)","A04 (Sodium Nitrate)","A05 (Urea)","A06 (Biuret)","A07 (L-Alanine)","A08 (L-Arginine)","A09 (L-Asparagine)","A10 (L-Aspartic Acid)","A11 (L-Cysteine)","A12 (L-Glutamic Acid)","B01 (L-Glutamine)","B02 (Glycine)","B03 (L-Histidine)","B04 (L-Isoleucine)","B05 (L-Leucine)","B06 (L-Lysine)","B07 (L-Methionine)","B08 (L-Phenylalanine)","B09 (L-Proline)","B10 (L-Serine)","B11 (L-Threonine)","B12 (L-Tryptophan)","C01 (L-Tyrosine)","C02 (L-Valine)","C03 (D-Alanine)","C04 (D-Asparagine)","C05 (D-Aspartic Acid)","C06 (D-Glutamic Acid)","C07 (D-Lysine)","C08 (D-Serine)","C09 (D-Valine)","C10 (L-Citrulline)","C11 (L-Homoserine)","C12 (L-Ornithine)","D01 (N-Acetyl-L-Glutamic Acid)","D02 (N-Phthaloyl-L-Glutamic Acid)","D03 (L-Pyroglutamic Acid)","D04 (Hydroxylamine)","D05 (Methylamine)","D06 (N-Amylamine)","D07 (N-Butylamine)","D08 (Ethylamine)","D09 (Ethanolamine)","D10 (Ethylenediamine)","D11 (Putrescine)","D12 (Agmatine)","E01 (Histamine)","E02 (b-Phenylethylamine)","E03 (Tyramine)","E04 (Acetamide)","E05 (Formamide)","E06 (Glucuronamide)","E07 (D,L-Lactamide)","E08 (D-Glucosamine)","E09 (D-Galactosamine)","E10 (D-Mannosamine)","E11 (N-Acetyl-D-Glucosamine)","E12 (N-Acetyl-D-Galactosamine)","F01 (N-Acetyl-b-D-Mannosamine)","F02 (Adenine)","F03 (Adenosine)","F04 (Cytidine)","F05 (Cytosine)","F06 (Guanine)","F07 (Guanosine)","F08 (Thymine)","F09 (Thymidine)","F10 (Uracil)","F11 (Uridine)","F12 (Inosine)","G01 (Xanthine)","G02 (Xanthosine)","G03 (Uric Acid)","G04 (Alloxan)","G05 (Allantoin)","G06 (Parabanic Acid)","G07 (D,L-a-Amino-Butyric Acid)","G08 (g-Amino-n-Butyric Acid)","G09 (e-Amino-N-Caproic Acid)","G10 (D,L-a-Amino-Caprylic Acid)","G11 (d-Amino-Valeric Acid)","G12 (L-Norvaline)","H01 (Ala-Asp)","H02 (Ala-Gln)","H03 (Ala-Glu)","H04 (Ala-Gly)","H05 (Ala-His)","H06 (Ala-Leu)","H07 (Ala-Thr)","H08 (Gly-Asn)","H09 (Gly-Gln)","H10 (Gly-Glu)","H11 (Gly-Met)","H12 (Met-Ala)"
"NRRL 2217 replicate 1",FALSE,NA,NA,TRUE,NA,FALSE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,FALSE,NA,NA,FALSE,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,TRUE,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"NRRL 2217 replicate 2",FALSE,NA,NA,TRUE,NA,FALSE,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,FALSE,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,TRUE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,FALSE,TRUE,NA,TRUE,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"NRRL 2217 replicate 3",FALSE,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,NA,NA,FALSE,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,NA,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,NA,TRUE
"NRRL 3483 replicate 1",FALSE,NA,NA,NA,NA,FALSE,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,NA,NA,FALSE,NA,TRUE,NA,TRUE,TRUE,NA,TRUE
"NRRL 3483 replicate 2",FALSE,NA,NA,NA,NA,FALSE,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,FALSE,NA,NA,NA,NA,FALSE,TRUE,NA,NA,TRUE,NA,NA,FALSE,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,NA,TRUE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,TRUE,NA,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,TRUE,FALSE,NA,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,NA,NA,FALSE,NA,TRUE,NA,NA,NA,NA,TRUE
"NRRL 3483 replicate 3",FALSE,NA,NA,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,TRUE
"NRRL 3488 replicate 1",FALSE,NA,NA,NA,TRUE,FALSE,NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,FALSE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,TRUE,FALSE,NA,FALSE,TRUE,NA,FALSE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE
"NRRL 3488 replicate 2",FALSE,NA,NA,TRUE,TRUE,FALSE,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,FALSE,TRUE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,FALSE,NA,FALSE,TRUE,NA,FALSE,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE
"NRRL 3488 replicate 3",FALSE,NA,NA,TRUE,TRUE,FALSE,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,TRUE
"NRRL 471 replicate 1",FALSE,NA,NA,TRUE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,NA,NA,TRUE,NA,FALSE,NA,FALSE,TRUE,NA,NA,NA,NA,FALSE,TRUE,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,TRUE,FALSE,TRUE,NA,NA,NA,NA,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE
