"Isolate";"Replicate";"Medium";"Observed";"plateID";"Metabolite"
"NRRL_2217";"1";"Negative_Control";NA;"PM_01";NA
"NRRL_2217";"1";"L_Arabinose";TRUE;"PM_01";"C00259[e]"
"NRRL_2217";"1";"N_Acetyl_D_Glucosamine";TRUE;"PM_01";NA
"NRRL_2217";"1";"D_Saccharic_Acid";NA;"PM_01";NA
"NRRL_2217";"1";"Succinic_Acid";NA;"PM_01";"C00042[e]"
"NRRL_2217";"1";"D_Galactose";TRUE;"PM_01";"C00124[e]"
"NRRL_2217";"1";"L_Aspartic_Acid";TRUE;"PM_01";NA
"NRRL_2217";"1";"L_Proline";TRUE;"PM_01";"C00148[e]"
"NRRL_2217";"1";"D_Alanine";TRUE;"PM_01";"C00133[c]"
"NRRL_2217";"1";"D_Trehalose";TRUE;"PM_01";"C01083[e]"
"NRRL_2217";"1";"D_Mannose";TRUE;"PM_01";"C00159[e]"
"NRRL_2217";"1";"Dulcitol";TRUE;"PM_01";"C01697[e]"
"NRRL_2217";"1";"D_Serine";FALSE;"PM_01";NA
"NRRL_2217";"1";"D_Sorbitol";TRUE;"PM_01";"C00794[e]"
"NRRL_2217";"1";"Glycerol";TRUE;"PM_01";"C00116[e]"
"NRRL_2217";"1";"L_Fucose";NA;"PM_01";NA
"NRRL_2217";"1";"D_Glucuronic_Acid";NA;"PM_01";NA
"NRRL_2217";"1";"D_Gluconic_Acid";TRUE;"PM_01";NA
"NRRL_2217";"1";"D_L_a_Glycerol_Phosphate";NA;"PM_01";NA
"NRRL_2217";"1";"D_Xylose";TRUE;"PM_01";"C00181[e]"
"NRRL_2217";"1";"L_Lactic_Acid";NA;"PM_01";NA
"NRRL_2217";"1";"Sodium_Formate";FALSE;"PM_01";NA
"NRRL_2217";"1";"D_Mannitol";TRUE;"PM_01";"C00392[c]"
"NRRL_2217";"1";"L_Glutamic_Acid";TRUE;"PM_01";"C00025[e]"
"NRRL_2217";"1";"D_Glucose_6_Phosphate";NA;"PM_01";NA
"NRRL_2217";"1";"D_Galactonic_Acid_g_Lactone";NA;"PM_01";NA
"NRRL_2217";"1";"D_L_Malic_Acid";NA;"PM_01";NA
"NRRL_2217";"1";"D_Ribose";TRUE;"PM_01";"C00121[e]"
"NRRL_2217";"1";"Tween_20";FALSE;"PM_01";NA
"NRRL_2217";"1";"L_Rhamnose";TRUE;"PM_01";NA
"NRRL_2217";"1";"D_Fructose";TRUE;"PM_01";"C00095[e]"
"NRRL_2217";"1";"Acetic_Acid";FALSE;"PM_01";"C00033[e]"
"NRRL_2217";"1";"D_Glucose";TRUE;"PM_01";"C00031[e]"
"NRRL_2217";"1";"D_Maltose";TRUE;"PM_01";"C00208[e]"
"NRRL_2217";"1";"D_Melibiose";TRUE;"PM_01";"C05402[e]"
"NRRL_2217";"1";"Thymidine";FALSE;"PM_01";"C00214[c]"
"NRRL_2217";"1";"L_Asparagine";NA;"PM_01";"C00152[e]"
"NRRL_2217";"1";"D_Aspartic_Acid";FALSE;"PM_01";NA
"NRRL_2217";"1";"D_Glucosaminic_Acid";FALSE;"PM_01";NA
"NRRL_2217";"1";"1_2_Propanediol";FALSE;"PM_01";NA
"NRRL_2217";"1";"Tween_40";FALSE;"PM_01";NA
"NRRL_2217";"1";"a_Keto_Glutaric_Acid";NA;"PM_01";NA
"NRRL_2217";"1";"a_Keto_Butyric_Acid";NA;"PM_01";NA
"NRRL_2217";"1";"a_Methyl_D_Galactoside";NA;"PM_01";NA
"NRRL_2217";"1";"a_D_Lactose";NA;"PM_01";NA
"NRRL_2217";"1";"Lactulose";NA;"PM_01";NA
"NRRL_2217";"1";"Sucrose";TRUE;"PM_01";"C00089[e]"
"NRRL_2217";"1";"Uridine";FALSE;"PM_01";"C00299[c]"
"NRRL_2217";"1";"L_Glutamine";TRUE;"PM_01";"C00064[e]"
"NRRL_2217";"1";"m_Tartaric_Acid";NA;"PM_01";NA
"NRRL_2217";"1";"a_D_Glucose_1_Phosphate";NA;"PM_01";NA
"NRRL_2217";"1";"D_Fructose_6_Phosphate";NA;"PM_01";NA
"NRRL_2217";"1";"Tween_80";FALSE;"PM_01";NA
"NRRL_2217";"1";"a_Hydroxy_Glutaric_Acid_g_Lactone";FALSE;"PM_01";NA
"NRRL_2217";"1";"a_Hydroxy_Butyric_Acid";NA;"PM_01";NA
"NRRL_2217";"1";"b_Methyl_D_Glucoside";TRUE;"PM_01";NA
"NRRL_2217";"1";"Adonitol";TRUE;"PM_01";NA
"NRRL_2217";"1";"Maltotriose";TRUE;"PM_01";"C01835[c]"
"NRRL_2217";"1";"2__Deoxy_Adenosine";NA;"PM_01";"C05198[c]"
"NRRL_2217";"1";"Adenosine";NA;"PM_01";"C00212[c]"
"NRRL_2217";"1";"Gly_Asp";FALSE;"PM_01";NA
