reaction,n_strains,fraction,category,class
Afu_R106,109,0.5828877005347594,shell,accessory
Afu_R1206,2,0.0106951871657754,cloud,accessory
Afu_R1291,187,1.0,strict_core,core
Afu_R1454,3,0.016042780748663103,cloud,accessory
Afu_R1455,3,0.016042780748663103,cloud,accessory
Afu_R1697,1,0.0053475935828877,strain_specific,accessory
Afu_R1879,184,0.983957219251337,softcore,core
Afu_R2094,109,0.5828877005347594,shell,accessory
Afu_R2110,184,0.983957219251337,softcore,core
Afu_R2477,53,0.28342245989304815,shell,accessory
Afu_R2478,53,0.28342245989304815,shell,accessory
Afu_R2654,2,0.0106951871657754,cloud,accessory
Afu_R2683,2,0.0106951871657754,cloud,accessory
Afu_R2684,2,0.0106951871657754,cloud,accessory
Afu_R2719,2,0.0106951871657754,cloud,accessory
Afu_R2721,2,0.0106951871657754,cloud,accessory
Afu_R2742,2,0.0106951871657754,cloud,accessory
Afu_R2762,186,0.9946524064171123,softcore,core
Afu_R2801,186,0.9946524064171123,softcore,core
Afu_R2803,186,0.9946524064171123,softcore,core
Afu_R2806,186,0.9946524064171123,softcore,core
Afu_R2812,186,0.9946524064171123,softcore,core
Afu_R2818,186,0.9946524064171123,softcore,core
Afu_R2823,186,0.9946524064171123,softcore,core
Afu_R2829,186,0.9946524064171123,softcore,core
Afu_R2831,186,0.9946524064171123,softcore,core
Afu_R2845,186,0.9946524064171123,softcore,core
Afu_R864,186,0.9946524064171123,softcore,core
Afu_R873,186,0.9946524064171123,softcore,core
Afu_R875,186,0.9946524064171123,softcore,core
Afu_R887,186,0.9946524064171123,softcore,core
Afu_R90,1,0.0053475935828877,strain_specific,accessory
Afu_R91,1,0.0053475935828877,strain_specific,accessory
Afu_R99,109,0.5828877005347594,shell,accessory
Ani_r111,187,1.0,strict_core,core
Ani_r1119,1,0.0053475935828877,strain_specific,accessory
Ani_r1180,1,0.0053475935828877,strain_specific,accessory
Ani_r1201,187,1.0,strict_core,core
Ani_r1222,46,0.24598930481283424,shell,accessory
Ani_r1225,187,1.0,strict_core,core
Ani_r1276,22,0.11764705882352941,shell,accessory
Ani_r163a,1,0.0053475935828877,strain_specific,accessory
Ani_r166,187,1.0,strict_core,core
Ani_r189,187,1.0,strict_core,core
Ani_r1902,187,1.0,strict_core,core
Ani_r1918,187,1.0,strict_core,core
Ani_r1936,173,0.9251336898395722,shell,accessory
Ani_r1937,173,0.9251336898395722,shell,accessory
Ani_r1997,187,1.0,strict_core,core
Ani_r2036,7,0.0374331550802139,cloud,accessory
Ani_r2075,1,0.0053475935828877,strain_specific,accessory
Ani_r2102,1,0.0053475935828877,strain_specific,accessory
Ani_r2104,1,0.0053475935828877,strain_specific,accessory
Ani_r2105,1,0.0053475935828877,strain_specific,accessory
Ani_r2106,1,0.0053475935828877,strain_specific,accessory
Ani_r2367,187,1.0,strict_core,core
Ani_r239,187,1.0,strict_core,core
Ani_r240,187,1.0,strict_core,core
Ani_r243,187,1.0,strict_core,core
Ani_r245,187,1.0,strict_core,core
Ani_r253,1,0.0053475935828877,strain_specific,accessory
Ani_r39,187,1.0,strict_core,core
Ani_r528,186,0.9946524064171123,softcore,core
Ani_r529,186,0.9946524064171123,softcore,core
Ani_r563,187,1.0,strict_core,core
Ani_r564,21,0.11229946524064172,shell,accessory
Ani_r569,21,0.11229946524064172,shell,accessory
Ani_r574,21,0.11229946524064172,shell,accessory
Ani_r579,21,0.11229946524064172,shell,accessory
Ani_r584,21,0.11229946524064172,shell,accessory
Ani_r588,187,1.0,strict_core,core
Ani_r589,22,0.11764705882352941,shell,accessory
Ani_r599,22,0.11764705882352941,shell,accessory
Ani_r609,22,0.11764705882352941,shell,accessory
Ani_r618,187,1.0,strict_core,core
Ani_r69a,15,0.08021390374331551,shell,accessory
Ani_r749,187,1.0,strict_core,core
Ani_r759,187,1.0,strict_core,core
Ani_r769,187,1.0,strict_core,core
Ani_r774,187,1.0,strict_core,core
Ani_r779,187,1.0,strict_core,core
Ani_r784,187,1.0,strict_core,core
Ani_r788,187,1.0,strict_core,core
Ani_r792,187,1.0,strict_core,core
Ani_r822,187,1.0,strict_core,core
Ani_r968,187,1.0,strict_core,core
OtherAsp_R00006,187,1.0,strict_core,core
OtherAsp_R00014,187,1.0,strict_core,core
OtherAsp_R00025_EXP_1,187,1.0,strict_core,core
OtherAsp_R00025_EXP_2_Peroxisome_Peroxisome,2,0.0106951871657754,cloud,accessory
OtherAsp_R00026,3,0.016042780748663103,cloud,accessory
OtherAsp_R00068_Extracellular_Extracellular,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R00078_Extracellular_Extracellular,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R00089,2,0.0106951871657754,cloud,accessory
OtherAsp_R00177,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R00179,127,0.679144385026738,shell,accessory
OtherAsp_R00220,2,0.0106951871657754,cloud,accessory
OtherAsp_R00226,187,1.0,strict_core,core
OtherAsp_R00245,38,0.20320855614973263,shell,accessory
OtherAsp_R00261,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R00282,43,0.22994652406417113,shell,accessory
OtherAsp_R00305_EXP_1,4,0.0213903743315508,cloud,accessory
OtherAsp_R00305_EXP_2_Extracellular_Extracellular,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R00306,3,0.016042780748663103,cloud,accessory
OtherAsp_R00366_Peroxisome_Peroxisome,19,0.10160427807486631,shell,accessory
OtherAsp_R00434,2,0.0106951871657754,cloud,accessory
OtherAsp_R00489,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R00497,2,0.0106951871657754,cloud,accessory
OtherAsp_R00524_Peroxisome_Peroxisome,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R00551_Mitochondrion_Mitochondrion,150,0.8021390374331551,shell,accessory
OtherAsp_R00589,2,0.0106951871657754,cloud,accessory
OtherAsp_R00667,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R00697_Peroxisome_Peroxisome,2,0.0106951871657754,cloud,accessory
OtherAsp_R00707,38,0.20320855614973263,shell,accessory
OtherAsp_R00708,38,0.20320855614973263,shell,accessory
OtherAsp_R00713,2,0.0106951871657754,cloud,accessory
OtherAsp_R00714,2,0.0106951871657754,cloud,accessory
OtherAsp_R00746,71,0.37967914438502676,shell,accessory
OtherAsp_R00751,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R00801,25,0.13368983957219252,shell,accessory
OtherAsp_R00801_EXP_1_Extracellular_Extracellular,64,0.3422459893048128,shell,accessory
OtherAsp_R00801_EXP_2_Peroxisome_Peroxisome,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R00802,25,0.13368983957219252,shell,accessory
OtherAsp_R00806,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R00818,187,1.0,strict_core,core
OtherAsp_R00837_Peroxisome_Peroxisome,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R00896,16,0.0855614973262032,shell,accessory
OtherAsp_R00942,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R00943,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R00988,187,1.0,strict_core,core
OtherAsp_R00996,2,0.0106951871657754,cloud,accessory
OtherAsp_R00997,4,0.0213903743315508,cloud,accessory
OtherAsp_R00999_EXP_1,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R00999_EXP_2_Peroxisome_Peroxisome,16,0.0855614973262032,shell,accessory
OtherAsp_R01025_EXP_1,4,0.0213903743315508,cloud,accessory
OtherAsp_R01025_EXP_2_Extracellular_Extracellular,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R01026,28,0.1497326203208556,shell,accessory
OtherAsp_R01026_EXP_1_Extracellular_Extracellular,187,1.0,strict_core,core
OtherAsp_R01036,71,0.37967914438502676,shell,accessory
OtherAsp_R01039,187,1.0,strict_core,core
OtherAsp_R01041,71,0.37967914438502676,shell,accessory
