reaction,n_strains,fraction,category,class
OtherAsp_R01068,4,0.0213903743315508,cloud,accessory
OtherAsp_R01090_Peroxisome_Peroxisome,2,0.0106951871657754,cloud,accessory
OtherAsp_R01093,71,0.37967914438502676,shell,accessory
OtherAsp_R01095,71,0.37967914438502676,shell,accessory
OtherAsp_R01123_Peroxisome_Peroxisome,187,1.0,strict_core,core
OtherAsp_R01151,69,0.3689839572192513,shell,accessory
OtherAsp_R01157_Extracellular_Extracellular,44,0.23529411764705882,shell,accessory
OtherAsp_R01175_Peroxisome_Peroxisome,68,0.36363636363636365,shell,accessory
OtherAsp_R01183_Peroxisome_Peroxisome,2,0.0106951871657754,cloud,accessory
OtherAsp_R01192,87,0.46524064171123,shell,accessory
OtherAsp_R01214_Peroxisome_Peroxisome,2,0.0106951871657754,cloud,accessory
OtherAsp_R01220,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R01230,2,0.0106951871657754,cloud,accessory
OtherAsp_R01231,2,0.0106951871657754,cloud,accessory
OtherAsp_R01238_Mitochondrion_Mitochondrion,12,0.06417112299465241,shell,accessory
OtherAsp_R01244,27,0.1443850267379679,shell,accessory
OtherAsp_R01248,186,0.9946524064171123,softcore,core
OtherAsp_R01251,186,0.9946524064171123,softcore,core
OtherAsp_R01255,3,0.016042780748663103,cloud,accessory
OtherAsp_R01279_Peroxisome_Peroxisome,68,0.36363636363636365,shell,accessory
OtherAsp_R01288_EXP_1,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R01288_EXP_2_Peroxisome_Peroxisome,16,0.0855614973262032,shell,accessory
OtherAsp_R01295,2,0.0106951871657754,cloud,accessory
OtherAsp_R01315,136,0.7272727272727273,shell,accessory
OtherAsp_R01317,136,0.7272727272727273,shell,accessory
OtherAsp_R01348,61,0.32620320855614976,shell,accessory
OtherAsp_R01357_Peroxisome_Peroxisome,141,0.7540106951871658,shell,accessory
OtherAsp_R01360,18,0.0962566844919786,shell,accessory
OtherAsp_R01364,182,0.9732620320855615,softcore,core
OtherAsp_R01404,187,1.0,strict_core,core
OtherAsp_R01431,71,0.37967914438502676,shell,accessory
OtherAsp_R01481,71,0.37967914438502676,shell,accessory
OtherAsp_R01494_Extracellular_Extracellular,5,0.026737967914438502,cloud,accessory
OtherAsp_R01564,2,0.0106951871657754,cloud,accessory
OtherAsp_R01616,91,0.48663101604278075,shell,accessory
OtherAsp_R01624,187,1.0,strict_core,core
OtherAsp_R01645,16,0.0855614973262032,shell,accessory
OtherAsp_R01647,16,0.0855614973262032,shell,accessory
OtherAsp_R01655,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R01657,62,0.3315508021390374,shell,accessory
OtherAsp_R01682,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R01706,185,0.9893048128342246,softcore,core
OtherAsp_R01708,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R01718_EXP_1_Extracellular_Extracellular,64,0.3422459893048128,shell,accessory
OtherAsp_R01718_EXP_2_Peroxisome_Peroxisome,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R01718_EXP_3,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R01758,71,0.37967914438502676,shell,accessory
OtherAsp_R01759,71,0.37967914438502676,shell,accessory
OtherAsp_R01787,71,0.37967914438502676,shell,accessory
OtherAsp_R01802,3,0.016042780748663103,cloud,accessory
OtherAsp_R01829,4,0.0213903743315508,cloud,accessory
OtherAsp_R01878,24,0.12834224598930483,shell,accessory
OtherAsp_R01887,19,0.10160427807486631,shell,accessory
OtherAsp_R01914_Extracellular_Extracellular,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R01939,10,0.053475935828877004,shell,accessory
OtherAsp_R01943,91,0.48663101604278075,shell,accessory
OtherAsp_R01959,187,1.0,strict_core,core
OtherAsp_R02026_EXP_1,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R02026_EXP_2_Peroxisome_Peroxisome,16,0.0855614973262032,shell,accessory
OtherAsp_R02053,136,0.7272727272727273,shell,accessory
OtherAsp_R02055,136,0.7272727272727273,shell,accessory
OtherAsp_R02150,69,0.3689839572192513,shell,accessory
OtherAsp_R02173,69,0.3689839572192513,shell,accessory
OtherAsp_R02194,91,0.48663101604278075,shell,accessory
OtherAsp_R02199_Peroxisome_Peroxisome,2,0.0106951871657754,cloud,accessory
OtherAsp_R02207,71,0.37967914438502676,shell,accessory
OtherAsp_R02209,71,0.37967914438502676,shell,accessory
OtherAsp_R02211,15,0.08021390374331551,shell,accessory
OtherAsp_R02221,91,0.48663101604278075,shell,accessory
OtherAsp_R02222,22,0.11764705882352941,shell,accessory
OtherAsp_R02231,23,0.12299465240641712,shell,accessory
OtherAsp_R02237,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R02255,91,0.48663101604278075,shell,accessory
OtherAsp_R02260,15,0.08021390374331551,shell,accessory
OtherAsp_R02272,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R02354,15,0.08021390374331551,shell,accessory
OtherAsp_R02355,15,0.08021390374331551,shell,accessory
OtherAsp_R02356,187,1.0,strict_core,core
OtherAsp_R02382,71,0.37967914438502676,shell,accessory
OtherAsp_R02401,2,0.0106951871657754,cloud,accessory
OtherAsp_R02410,25,0.13368983957219252,shell,accessory
OtherAsp_R02412,66,0.35294117647058826,shell,accessory
OtherAsp_R02413,66,0.35294117647058826,shell,accessory
OtherAsp_R02433,16,0.0855614973262032,shell,accessory
OtherAsp_R02457_Peroxisome_Peroxisome,19,0.10160427807486631,shell,accessory
OtherAsp_R02466,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R02472,4,0.0213903743315508,cloud,accessory
OtherAsp_R02485,24,0.12834224598930483,shell,accessory
OtherAsp_R02508_EXP_1,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R02508_EXP_2_Peroxisome_Peroxisome,16,0.0855614973262032,shell,accessory
OtherAsp_R02531,71,0.37967914438502676,shell,accessory
OtherAsp_R02534,2,0.0106951871657754,cloud,accessory
OtherAsp_R02540,34,0.18181818181818182,shell,accessory
OtherAsp_R02542_Extracellular_Extracellular,187,1.0,strict_core,core
OtherAsp_R02558,3,0.016042780748663103,cloud,accessory
OtherAsp_R02568,4,0.0213903743315508,cloud,accessory
OtherAsp_R02577,71,0.37967914438502676,shell,accessory
OtherAsp_R02613,71,0.37967914438502676,shell,accessory
OtherAsp_R02619,16,0.0855614973262032,shell,accessory
OtherAsp_R02661_Peroxisome_Peroxisome,68,0.36363636363636365,shell,accessory
OtherAsp_R02756,50,0.26737967914438504,shell,accessory
OtherAsp_R02887,3,0.016042780748663103,cloud,accessory
OtherAsp_R02894_Peroxisome_Peroxisome,19,0.10160427807486631,shell,accessory
OtherAsp_R02920,2,0.0106951871657754,cloud,accessory
OtherAsp_R02923_Peroxisome_Peroxisome,19,0.10160427807486631,shell,accessory
OtherAsp_R02952_Mitochondrion_Mitochondrion,12,0.06417112299465241,shell,accessory
OtherAsp_R02984,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R02985,3,0.016042780748663103,cloud,accessory
OtherAsp_R03050,187,1.0,strict_core,core
OtherAsp_R03084,66,0.35294117647058826,shell,accessory
OtherAsp_R03089,15,0.08021390374331551,shell,accessory
OtherAsp_R03093,19,0.10160427807486631,shell,accessory
OtherAsp_R03096,34,0.18181818181818182,shell,accessory
OtherAsp_R03098,112,0.5989304812834224,shell,accessory
OtherAsp_R03111,90,0.48128342245989303,shell,accessory
OtherAsp_R03139,71,0.37967914438502676,shell,accessory
OtherAsp_R03172_Peroxisome_Peroxisome,68,0.36363636363636365,shell,accessory
OtherAsp_R03180,34,0.18181818181818182,shell,accessory
OtherAsp_R03217_EXP_1,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R03217_EXP_2_Peroxisome_Peroxisome,16,0.0855614973262032,shell,accessory
OtherAsp_R03260_EXP_2_Peroxisome_Peroxisome,16,0.0855614973262032,shell,accessory
OtherAsp_R03291,186,0.9946524064171123,softcore,core
OtherAsp_R03293,186,0.9946524064171123,softcore,core
OtherAsp_R03304,2,0.0106951871657754,cloud,accessory
OtherAsp_R03325,71,0.37967914438502676,shell,accessory
OtherAsp_R03353,187,1.0,strict_core,core
OtherAsp_R03361,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R03367_Mitochondrion_Mitochondrion,12,0.06417112299465241,shell,accessory
OtherAsp_R03383,90,0.48128342245989303,shell,accessory
OtherAsp_R03383_EXP_2_Peroxisome_Peroxisome,187,1.0,strict_core,core
OtherAsp_R03408,187,1.0,strict_core,core
OtherAsp_R03460,66,0.35294117647058826,shell,accessory
OtherAsp_R03527,3,0.016042780748663103,cloud,accessory
OtherAsp_R03542,19,0.10160427807486631,shell,accessory
OtherAsp_R03599,20,0.10695187165775401,shell,accessory
OtherAsp_R03629,16,0.0855614973262032,shell,accessory
OtherAsp_R03635,25,0.13368983957219252,shell,accessory
OtherAsp_R03648,60,0.32085561497326204,shell,accessory
OtherAsp_R03650,2,0.0106951871657754,cloud,accessory
OtherAsp_R03661,54,0.2887700534759358,shell,accessory
OtherAsp_R03777_Peroxisome_Peroxisome,68,0.36363636363636365,shell,accessory
OtherAsp_R03783,15,0.08021390374331551,shell,accessory
OtherAsp_R03857_Peroxisome_Peroxisome,68,0.36363636363636365,shell,accessory
OtherAsp_R03875,129,0.6898395721925134,shell,accessory
OtherAsp_R03909,34,0.18181818181818182,shell,accessory
OtherAsp_R03921,25,0.13368983957219252,shell,accessory
OtherAsp_R03990_Peroxisome_Peroxisome,68,0.36363636363636365,shell,accessory
OtherAsp_R04027,71,0.37967914438502676,shell,accessory
OtherAsp_R04095_Peroxisome_Peroxisome,68,0.36363636363636365,shell,accessory
OtherAsp_R04121,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R04221_Peroxisome_Peroxisome,19,0.10160427807486631,shell,accessory
OtherAsp_R04241,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R04285,71,0.37967914438502676,shell,accessory
OtherAsp_R04300,71,0.37967914438502676,shell,accessory
OtherAsp_R04301,2,0.0106951871657754,cloud,accessory
OtherAsp_R04355,185,0.9893048128342246,softcore,core
OtherAsp_R04360,50,0.26737967914438504,shell,accessory
OtherAsp_R04374,3,0.016042780748663103,cloud,accessory
OtherAsp_R04390,112,0.5989304812834224,shell,accessory
OtherAsp_R04427,24,0.12834224598930483,shell,accessory
OtherAsp_R04430,187,1.0,strict_core,core
OtherAsp_R04444,38,0.20320855614973263,shell,accessory
OtherAsp_R04445,38,0.20320855614973263,shell,accessory
OtherAsp_R04452,69,0.3689839572192513,shell,accessory
OtherAsp_R04533,185,0.9893048128342246,softcore,core
OtherAsp_R04533_EXP_2_Peroxisome_Peroxisome,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R04534_EXP_2_Peroxisome_Peroxisome,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R04536,185,0.9893048128342246,softcore,core
OtherAsp_R04536_EXP_2_Peroxisome_Peroxisome,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R04543,185,0.9893048128342246,softcore,core
OtherAsp_R04543_EXP_2_Peroxisome_Peroxisome,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R04566,185,0.9893048128342246,softcore,core
OtherAsp_R04566_EXP_2_Peroxisome_Peroxisome,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R04672,187,1.0,strict_core,core
OtherAsp_R04673,187,1.0,strict_core,core
OtherAsp_R04674,69,0.3689839572192513,shell,accessory
OtherAsp_R04725,187,1.0,strict_core,core
OtherAsp_R04726,185,0.9893048128342246,softcore,core
OtherAsp_R04751_Peroxisome_Peroxisome,68,0.36363636363636365,shell,accessory
OtherAsp_R04754_Peroxisome_Peroxisome,68,0.36363636363636365,shell,accessory
OtherAsp_R04762,2,0.0106951871657754,cloud,accessory
OtherAsp_R04764,2,0.0106951871657754,cloud,accessory
OtherAsp_R04771,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R04804,187,1.0,strict_core,core
OtherAsp_R04852,15,0.08021390374331551,shell,accessory
OtherAsp_R04853,15,0.08021390374331551,shell,accessory
OtherAsp_R04863,112,0.5989304812834224,shell,accessory
OtherAsp_R04866,129,0.6898395721925134,shell,accessory
OtherAsp_R04867,129,0.6898395721925134,shell,accessory
OtherAsp_R04870,114,0.6096256684491979,shell,accessory
OtherAsp_R04881,2,0.0106951871657754,cloud,accessory
OtherAsp_R04887,2,0.0106951871657754,cloud,accessory
OtherAsp_R04911,187,1.0,strict_core,core
OtherAsp_R04944_EXP_1,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R04944_EXP_2_Peroxisome_Peroxisome,16,0.0855614973262032,shell,accessory
OtherAsp_R04945_EXP_1,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R04945_EXP_2_Peroxisome_Peroxisome,16,0.0855614973262032,shell,accessory
OtherAsp_R04946_EXP_1,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R04946_EXP_2_Peroxisome_Peroxisome,16,0.0855614973262032,shell,accessory
OtherAsp_R04949,3,0.016042780748663103,cloud,accessory
OtherAsp_R04952,185,0.9893048128342246,softcore,core
OtherAsp_R04953,185,0.9893048128342246,softcore,core
OtherAsp_R04953_EXP_2_Peroxisome_Peroxisome,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R04956,187,1.0,strict_core,core
OtherAsp_R04957,185,0.9893048128342246,softcore,core
OtherAsp_R04959,187,1.0,strict_core,core
OtherAsp_R04960,185,0.9893048128342246,softcore,core
OtherAsp_R04962,187,1.0,strict_core,core
OtherAsp_R04963,185,0.9893048128342246,softcore,core
OtherAsp_R04964,185,0.9893048128342246,softcore,core
OtherAsp_R04964_EXP_2_Peroxisome_Peroxisome,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R04967,187,1.0,strict_core,core
OtherAsp_R04968,185,0.9893048128342246,softcore,core
OtherAsp_R04970,187,1.0,strict_core,core
OtherAsp_R04986_Mitochondrion_Mitochondrion,12,0.06417112299465241,shell,accessory
OtherAsp_R04998,3,0.016042780748663103,cloud,accessory
OtherAsp_R05051,38,0.20320855614973263,shell,accessory
OtherAsp_R05052,16,0.0855614973262032,shell,accessory
OtherAsp_R05188,185,0.9893048128342246,softcore,core
OtherAsp_R05190,3,0.016042780748663103,cloud,accessory
OtherAsp_R05231,71,0.37967914438502676,shell,accessory
OtherAsp_R05259,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R05487,15,0.08021390374331551,shell,accessory
OtherAsp_R05551,34,0.18181818181818182,shell,accessory
OtherAsp_R05578,54,0.2887700534759358,shell,accessory
OtherAsp_R05590,34,0.18181818181818182,shell,accessory
OtherAsp_R05591,19,0.10160427807486631,shell,accessory
OtherAsp_R05632,187,1.0,strict_core,core
OtherAsp_R05799,187,1.0,strict_core,core
OtherAsp_R05842_Peroxisome_Peroxisome,187,1.0,strict_core,core
OtherAsp_R05922,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R06088,25,0.13368983957219252,shell,accessory
OtherAsp_R06113_Peroxisome_Peroxisome,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R06154,71,0.37967914438502676,shell,accessory
OtherAsp_R06171,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R06199_EXP_1_Extracellular_Extracellular,64,0.3422459893048128,shell,accessory
OtherAsp_R06199_EXP_2_Peroxisome_Peroxisome,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R06199_EXP_3,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R06214,87,0.46524064171123,shell,accessory
OtherAsp_R06291,2,0.0106951871657754,cloud,accessory
OtherAsp_R06292,2,0.0106951871657754,cloud,accessory
OtherAsp_R06293,2,0.0106951871657754,cloud,accessory
OtherAsp_R06363_Extracellular_Extracellular,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R06518_EXP_1,27,0.1443850267379679,shell,accessory
OtherAsp_R06518_EXP_2_Extracellular_Extracellular,5,0.026737967914438502,cloud,accessory
OtherAsp_R06528_Extracellular_Extracellular,5,0.026737967914438502,cloud,accessory
OtherAsp_R06583,91,0.48663101604278075,shell,accessory
OtherAsp_R06622,23,0.12299465240641712,shell,accessory
OtherAsp_R06740,71,0.37967914438502676,shell,accessory
OtherAsp_R06915,187,1.0,strict_core,core
OtherAsp_R06936,187,1.0,strict_core,core
OtherAsp_R06939,187,1.0,strict_core,core
OtherAsp_R07000,15,0.08021390374331551,shell,accessory
OtherAsp_R07001,15,0.08021390374331551,shell,accessory
OtherAsp_R07013_EXP_1_Extracellular_Extracellular,109,0.5828877005347594,shell,accessory
OtherAsp_R07013_EXP_2,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R07014_EXP_1_Extracellular_Extracellular,109,0.5828877005347594,shell,accessory
OtherAsp_R07014_EXP_2,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R07015,71,0.37967914438502676,shell,accessory
OtherAsp_R07021,15,0.08021390374331551,shell,accessory
OtherAsp_R07022,15,0.08021390374331551,shell,accessory
OtherAsp_R07027_EXP_1_Extracellular_Extracellular,109,0.5828877005347594,shell,accessory
OtherAsp_R07027_EXP_2,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R07041,61,0.32620320855614976,shell,accessory
OtherAsp_R07042,15,0.08021390374331551,shell,accessory
OtherAsp_R07043,15,0.08021390374331551,shell,accessory
OtherAsp_R07044,15,0.08021390374331551,shell,accessory
OtherAsp_R07045,15,0.08021390374331551,shell,accessory
OtherAsp_R07046,61,0.32620320855614976,shell,accessory
OtherAsp_R07048,15,0.08021390374331551,shell,accessory
OtherAsp_R07050,15,0.08021390374331551,shell,accessory
OtherAsp_R07051,15,0.08021390374331551,shell,accessory
OtherAsp_R07052,15,0.08021390374331551,shell,accessory
OtherAsp_R07055,187,1.0,strict_core,core
OtherAsp_R07056,187,1.0,strict_core,core
OtherAsp_R07064,136,0.7272727272727273,shell,accessory
OtherAsp_R07071_EXP_1_Extracellular_Extracellular,109,0.5828877005347594,shell,accessory
OtherAsp_R07071_EXP_2,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R07072_EXP_1_Extracellular_Extracellular,109,0.5828877005347594,shell,accessory
OtherAsp_R07072_EXP_2,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R07079,15,0.08021390374331551,shell,accessory
OtherAsp_R07080,15,0.08021390374331551,shell,accessory
OtherAsp_R07081,15,0.08021390374331551,shell,accessory
OtherAsp_R07082_EXP_1_Extracellular_Extracellular,109,0.5828877005347594,shell,accessory
OtherAsp_R07082_EXP_2,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R07085,15,0.08021390374331551,shell,accessory
OtherAsp_R07087,15,0.08021390374331551,shell,accessory
OtherAsp_R07098,15,0.08021390374331551,shell,accessory
OtherAsp_R07099,15,0.08021390374331551,shell,accessory
OtherAsp_R07108_Peroxisome_Peroxisome,187,1.0,strict_core,core
OtherAsp_R07109_Peroxisome_Peroxisome,187,1.0,strict_core,core
OtherAsp_R07110_Peroxisome_Peroxisome,187,1.0,strict_core,core
OtherAsp_R07111_Peroxisome_Peroxisome,187,1.0,strict_core,core
OtherAsp_R07253,124,0.6631016042780749,shell,accessory
OtherAsp_R07379,136,0.7272727272727273,shell,accessory
OtherAsp_R07387,136,0.7272727272727273,shell,accessory
OtherAsp_R07400_Peroxisome_Peroxisome,19,0.10160427807486631,shell,accessory
OtherAsp_R07413_Extracellular_Extracellular,15,0.08021390374331551,shell,accessory
OtherAsp_R07481,24,0.12834224598930483,shell,accessory
OtherAsp_R07484,187,1.0,strict_core,core
OtherAsp_R07506,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R07763_EXP_1,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R07763_EXP_2_Peroxisome_Peroxisome,1,0.0053475935828877,strain_specific,accessory
OtherAsp_R07808_Extracellular_Extracellular,1,0.0053475935828877,strain_specific,accessory
