metabolite_base_id,formula
C00007,O2
C00070,Cu
C00076,Ca
C00077,C5H12N2O2
C00080,H
C00092,C6H13O9P
C00156,C7H6O3
C00182,C24H42O21
C00184,C3H6O3
C00196,C7H6O4
C00238,K
C00266,C2H4O2
C00366,C5H4N4O3
C00439,C6H10N2O4
C00474,C5H12O5
C00483,C8H11NO
C00507,C6H12O5
C00558,C6H10O7
C00561,C8H7NO
C00628,C7H6O4
C00642,C8H8O3
C00770,C6H12O7
C00844,C14H17NO6
C00846,C6H8O5
C01213,C25H40N7O19P3S
C01330,Na
C01508,C5H10O5
C01613,C24H42O21
C01742,C12H22O11
C01826,C5H11NO2
C02052,C24H42O21
C02167,C7H6O6
C02170,C4H6O4
C02232,C27H42N7O20P3S
C02336,C6H12O6
C02480,C6H6O4
C02514,C7H6O6
C02642,C4H8N2O3
C03460,C25H40N7O17P3S
C03546,C6H13O9P
C03586,C6H6O4
C03680,C6H8N2O3
C03944,C19H16O6
C03979,C6H10O5
C04494,C10H18N5O20P5
C04732,C9H16N4O6
C05332,C8H11N
C05404,C18H32O16
C05439,C27H44O
C05593,C8H8O3
C05815,C48H72O4
C06000,C25H42N7O18P3S
C06001,C4H8O3
C06002,C4H6O3
C06007,C6H12O4
C06008,C6H10O3
C06186,C12H16O7
C06255,C5H8O3
C08240,C12H22O11
C08325,C20H27NO11
C13183,C42H70O35
C14610,C6H6O4
C15673,C6H10O7
C16688,C12H23O14P
C16753,C17H14O6
C19636,C12H22O11
C20444,C17H12O6
C20445,C18H14O6
C20452,C20H18O7
C20499,C20H20O7
C20501,C20H20O8
C20505,C20H16O9
C20507,C18H14O8
C20574,C20H16O7
C20575,C18H12O7
C20583,C18H10O7
C20680,C6H10O6
Sorbac,C6H8O2
